tick,total_infected,total_recovered,total_dead,total_healthy,hot_region_infected,cold_region_infected,moderate_region_infected,airport_usage,port_usage,num_isolated_countries,num_affected_countries,most_affected_country,most_deaths_country,hot_region_transmission_rate,cold_region_transmission_rate,moderate_region_transmission_rate,cross_border_infections,within_country_infections
0,9,0,0,11438,0,0,9,13,6,0,1,Romania,,0,0,0.0019222554463904314,0,9
1,13,0,0,11434,0,0,13,27,13,0,2,Romania,,0,0,0.002776591200341734,0,13
2,18,0,0,11429,0,0,18,42,16,0,3,Romania,,0,0,0.003844510892780863,0,18
3,24,0,0,11423,0,0,24,58,21,0,3,Romania,,0,0,0.0051260145237078175,0,24
4,28,0,0,11419,0,0,28,70,25,0,3,Romania,,0,0,0.00598035027765912,0,28
5,33,0,0,11414,0,0,33,84,27,0,3,Romania,,0,0,0.0070482699700982485,0,33
6,35,0,0,11412,0,0,35,95,31,0,3,Romania,,0,0,0.0074754378470739,0,35
7,38,0,0,11409,0,0,38,107,35,0,3,Romania,,0,0,0.008116189662537377,0,38
8,43,0,0,11404,0,0,43,117,40,0,3,Romania,,0,0,0.009184109354976506,0,43
9,44,0,0,11403,0,0,44,130,44,0,3,Romania,,0,0,0.009397693293464331,0,44
10,46,0,0,11401,0,0,46,143,45,0,3,Romania,,0,0,0.009824861170439982,0,46
11,49,0,0,11398,0,0,49,155,50,0,3,Romania,,0,0,0.01046561298590346,0,49
12,50,0,0,11397,0,0,50,170,56,0,4,Romania,,0,0,0.010679196924391286,0,50
13,52,0,0,11395,0,0,52,178,60,0,4,Romania,,0,0,0.011106364801366937,0,52
14,55,0,0,11392,0,0,55,193,63,0,4,Romania,,0,0,0.011747116616830415,0,55
15,58,0,0,11389,0,0,58,204,68,0,5,Romania,,0,0,0.012387868432293891,0,58
16,60,0,0,11387,0,0,60,220,76,0,6,Romania,,0,0,0.012815036309269542,0,60
17,64,0,0,11383,0,0,64,229,80,0,8,Romania,,0,0,0.013669372063220846,0,64
18,72,0,0,11375,0,0,72,231,86,0,8,Romania,,0,0,0.015378043571123452,0,72
19,74,0,0,11373,0,0,74,236,89,0,9,Romania,,0,0,0.015805211448099103,0,74
20,76,1,0,11370,0,0,76,248,96,0,9,Romania,,0,0,0.016232379325074753,0,76
21,79,1,0,11367,1,0,78,259,101,0,10,Romania,,1.5401201293700908E-4,0,0.016659547202050404,0,79
22,82,2,0,11363,3,0,79,272,107,0,10,Romania,,4.6203603881102723E-4,0,0.01687313114053823,0,82
23,83,4,0,11360,4,0,79,284,111,0,10,Romania,,6.160480517480363E-4,0,0.01687313114053823,0,83
24,88,7,0,11352,4,0,84,290,114,0,10,Ukraine,,6.160480517480363E-4,0,0.01794105083297736,0,88
25,91,7,0,11349,5,0,86,299,118,0,11,Ukraine,,7.700600646850454E-4,0,0.01836821870995301,0,91
26,94,8,0,11345,5,0,89,316,119,0,12,Ukraine,,7.700600646850454E-4,0,0.019008970525416488,0,94
27,100,8,0,11339,5,0,95,327,120,0,14,Ukraine,,7.700600646850454E-4,0,0.020290474156343444,0,100
28,106,8,0,11333,6,0,100,338,123,0,14,Ukraine,,9.240720776220545E-4,0,0.021358393848782572,0,106
29,109,10,0,11328,6,0,103,347,128,0,14,Ukraine,,9.240720776220545E-4,0,0.021999145664246048,0,109
30,109,13,0,11325,6,0,103,353,132,0,14,Ukraine,,9.240720776220545E-4,0,0.021999145664246048,0,109
31,109,16,0,11322,6,0,103,363,134,0,14,Ukraine,,9.240720776220545E-4,0,0.021999145664246048,0,109
32,112,16,0,11319,7,0,105,372,134,0,14,Ukraine,,0.0010780840905590637,0,0.0224263135412217,0,112
33,114,18,0,11315,7,0,107,378,140,0,14,Ukraine,,0.0010780840905590637,0,0.02285348141819735,0,114
34,111,21,0,11315,7,0,104,387,144,0,14,Ukraine,,0.0010780840905590637,0,0.022212729602733874,0,111
35,111,24,1,11311,7,0,104,394,150,0,14,Ukraine,Romania,0.0010780840905590637,0,0.022212729602733874,0,111
36,115,27,1,11304,8,0,107,403,153,0,15,Ukraine,Romania,0.0012320961034960726,0,0.02285348141819735,0,115
