"export-plot data (NetLogo 6.4.0)"
"vladviiob.nlogo"
"11/22/2024 23:42:18:882 +0100"

"MODEL SETTINGS"
"infection-chance","initial-infected","population-scaling","num-airports","num-ports","mortality-rate","airport-travel-chance","port-travel-chance","movement-radius","recovery-time-mean","recovery-time-sd","min-recovery-time","airports-and-ports-enabled?","select-infection-country?","isolation-enabled?","compliance-rate","heat-threshold","cold-threshold","virus-heat-resistance","virus-cold-resistance","isolation-compliance","infections-threshold","days-until-healthy"
"0.25","1","0.3","0","5","0.1","0.03","0.5","4","30","10","20","true","true","false","1","13","1","0.6","0.6","1","0.43","365"

"""Climate Impact"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","92.5","0","314","true","""hot""","false","3"

"pen name","pen down?","mode","interval","color","x"
"""hot""","true","0","1","25","90"
"""cold""","true","0","1","5","90"
"""moderate""","true","0","1","55","90"

"""hot""",,,,"""cold""",,,,"""moderate"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","0","25","true","0","0","5","true","0","0","55","true"
"1","0","25","true","1","0","5","true","1","1","55","true"
"2","0","25","true","2","0","5","true","2","3","55","true"
"3","0","25","true","3","0","5","true","3","4","55","true"
"4","0","25","true","4","0","5","true","4","4","55","true"
"5","0","25","true","5","0","5","true","5","7","55","true"
"6","0","25","true","6","0","5","true","6","11","55","true"
"7","0","25","true","7","0","5","true","7","16","55","true"
"8","0","25","true","8","0","5","true","8","18","55","true"
"9","0","25","true","9","0","5","true","9","22","55","true"
"10","0","25","true","10","0","5","true","10","29","55","true"
"11","0","25","true","11","0","5","true","11","32","55","true"
"12","0","25","true","12","0","5","true","12","38","55","true"
"13","0","25","true","13","0","5","true","13","42","55","true"
"14","0","25","true","14","0","5","true","14","46","55","true"
"15","0","25","true","15","0","5","true","15","51","55","true"
"16","0","25","true","16","0","5","true","16","52","55","true"
"17","0","25","true","17","0","5","true","17","55","55","true"
"18","0","25","true","18","0","5","true","18","60","55","true"
"19","0","25","true","19","0","5","true","19","63","55","true"
"20","0","25","true","20","0","5","true","20","71","55","true"
"21","0","25","true","21","0","5","true","21","73","55","true"
"22","0","25","true","22","0","5","true","22","77","55","true"
"23","0","25","true","23","0","5","true","23","82","55","true"
"24","0","25","true","24","0","5","true","24","90","55","true"
"25","0","25","true","25","0","5","true","25","95","55","true"
"26","0","25","true","26","0","5","true","26","100","55","true"
"27","0","25","true","27","2","5","true","27","104","55","true"
"28","0","25","true","28","3","5","true","28","105","55","true"
"29","0","25","true","29","5","5","true","29","105","55","true"
"30","0","25","true","30","5","5","true","30","106","55","true"
"31","0","25","true","31","5","5","true","31","107","55","true"
"32","0","25","true","32","5","5","true","32","104","55","true"
"33","0","25","true","33","5","5","true","33","105","55","true"
"34","0","25","true","34","5","5","true","34","102","55","true"
"35","1","25","true","35","5","5","true","35","99","55","true"
"36","1","25","true","36","7","5","true","36","102","55","true"
"37","1","25","true","37","8","5","true","37","105","55","true"
"38","1","25","true","38","13","5","true","38","104","55","true"
"39","1","25","true","39","14","5","true","39","112","55","true"
"40","2","25","true","40","14","5","true","40","114","55","true"
"41","3","25","true","41","15","5","true","41","119","55","true"
"42","3","25","true","42","16","5","true","42","120","55","true"
"43","4","25","true","43","16","5","true","43","123","55","true"
"44","6","25","true","44","16","5","true","44","131","55","true"
"45","6","25","true","45","19","5","true","45","134","55","true"
"46","8","25","true","46","20","5","true","46","139","55","true"
"47","11","25","true","47","21","5","true","47","141","55","true"
"48","14","25","true","48","25","5","true","48","146","55","true"
"49","15","25","true","49","27","5","true","49","148","55","true"
"50","17","25","true","50","31","5","true","50","151","55","true"
"51","18","25","true","51","32","5","true","51","151","55","true"
"52","21","25","true","52","32","5","true","52","151","55","true"
"53","27","25","true","53","33","5","true","53","154","55","true"
"54","34","25","true","54","36","5","true","54","156","55","true"
"55","34","25","true","55","36","5","true","55","158","55","true"
"56","38","25","true","56","36","5","true","56","160","55","true"
"57","41","25","true","57","36","5","true","57","162","55","true"
"58","43","25","true","58","36","5","true","58","172","55","true"
"59","44","25","true","59","40","5","true","59","196","55","true"
