"export-plot data (NetLogo 6.4.0)"
"vladviiob.nlogo"
"11/22/2024 23:50:55:100 +0100"

"MODEL SETTINGS"
"infection-chance","initial-infected","population-scaling","num-airports","num-ports","mortality-rate","airport-travel-chance","port-travel-chance","movement-radius","recovery-time-mean","recovery-time-sd","min-recovery-time","airports-and-ports-enabled?","select-infection-country?","isolation-enabled?","compliance-rate","heat-threshold","cold-threshold","virus-heat-resistance","virus-cold-resistance","isolation-compliance","infections-threshold","days-until-healthy"
"0.25","1","0.3","0","20","0.1","0.03","0.03","4","30","10","20","true","true","false","1","13","1","0.6","0.6","1","0.43","365"

"""Daily New Cases"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","456","0","163","true","""cases""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""cases""","true","0","1","15","365"

"""cases"""
"x","y","color","pen down?"
"0","2","15","true"
"1","1","15","true"
"2","3","15","true"
"3","1","15","true"
"4","0","15","true"
"5","1","15","true"
"6","2","15","true"
"7","1","15","true"
"8","1","15","true"
"9","0","15","true"
"10","3","15","true"
"11","1","15","true"
"12","1","15","true"
"13","4","15","true"
"14","7","15","true"
"15","2","15","true"
"16","4","15","true"
"17","7","15","true"
"18","7","15","true"
"19","5","15","true"
"20","7","15","true"
"21","1","15","true"
"22","3","15","true"
"23","2","15","true"
"24","4","15","true"
"25","3","15","true"
"26","4","15","true"
"27","8","15","true"
"28","5","15","true"
"29","5","15","true"
"30","6","15","true"
"31","7","15","true"
"32","3","15","true"
"33","4","15","true"
"34","6","15","true"
"35","4","15","true"
"36","4","15","true"
"37","3","15","true"
"38","7","15","true"
"39","2","15","true"
"40","6","15","true"
"41","8","15","true"
"42","5","15","true"
"43","6","15","true"
"44","5","15","true"
"45","8","15","true"
"46","9","15","true"
"47","8","15","true"
"48","4","15","true"
"49","14","15","true"
"50","16","15","true"
"51","14","15","true"
"52","8","15","true"
"53","9","15","true"
"54","6","15","true"
"55","3","15","true"
"56","5","15","true"
"57","3","15","true"
"58","8","15","true"
"59","6","15","true"
"60","8","15","true"
"61","15","15","true"
"62","13","15","true"
"63","17","15","true"
"64","17","15","true"
"65","31","15","true"
"66","18","15","true"
"67","17","15","true"
"68","31","15","true"
"69","37","15","true"
"70","72","15","true"
"71","37","15","true"
"72","18","15","true"
"73","16","15","true"
"74","11","15","true"
"75","11","15","true"
"76","8","15","true"
"77","15","15","true"
"78","19","15","true"
"79","6","15","true"
"80","17","15","true"
"81","2","15","true"
"82","9","15","true"
"83","14","15","true"
"84","3","15","true"
"85","5","15","true"
"86","10","15","true"
"87","10","15","true"
"88","2","15","true"
"89","6","15","true"
"90","7","15","true"
"91","7","15","true"
"92","7","15","true"
"93","7","15","true"
"94","7","15","true"
"95","8","15","true"
"96","4","15","true"
"97","10","15","true"
"98","6","15","true"
"99","9","15","true"
"100","12","15","true"
"101","12","15","true"
"102","10","15","true"
"103","13","15","true"
"104","12","15","true"
"105","9","15","true"
"106","9","15","true"
"107","8","15","true"
"108","7","15","true"
"109","4","15","true"
"110","11","15","true"
"111","10","15","true"
"112","13","15","true"
"113","9","15","true"
"114","7","15","true"
"115","5","15","true"
"116","4","15","true"
"117","12","15","true"
"118","12","15","true"
"119","9","15","true"
"120","14","15","true"
"121","12","15","true"
"122","17","15","true"
"123","19","15","true"
"124","10","15","true"
"125","16","15","true"
"126","10","15","true"
"127","10","15","true"
"128","5","15","true"
"129","12","15","true"
"130","8","15","true"
"131","17","15","true"
"132","13","15","true"
"133","20","15","true"
"134","18","15","true"
"135","13","15","true"
"136","6","15","true"
"137","10","15","true"
"138","6","15","true"
"139","8","15","true"
"140","5","15","true"
"141","9","15","true"
"142","4","15","true"
"143","9","15","true"
"144","5","15","true"
"145","9","15","true"
"146","8","15","true"
"147","11","15","true"
"148","10","15","true"
"149","9","15","true"
"150","3","15","true"
"151","6","15","true"
"152","4","15","true"
"153","3","15","true"
"154","4","15","true"
"155","2","15","true"
"156","6","15","true"
"157","3","15","true"
"158","3","15","true"
"159","3","15","true"
"160","4","15","true"
"161","4","15","true"
"162","7","15","true"
"163","5","15","true"
"164","9","15","true"
"165","4","15","true"
"166","4","15","true"
"167","6","15","true"
"168","4","15","true"
"169","0","15","true"
"170","4","15","true"
"171","4","15","true"
"172","7","15","true"
"173","5","15","true"
"174","3","15","true"
"175","4","15","true"
"176","5","15","true"
"177","4","15","true"
"178","4","15","true"
"179","6","15","true"
"180","4","15","true"
"181","9","15","true"
"182","2","15","true"
"183","6","15","true"
"184","6","15","true"
"185","7","15","true"
"186","1","15","true"
"187","4","15","true"
"188","2","15","true"
"189","5","15","true"
"190","3","15","true"
"191","4","15","true"
"192","4","15","true"
"193","5","15","true"
"194","4","15","true"
"195","7","15","true"
"196","3","15","true"
"197","8","15","true"
"198","7","15","true"
"199","12","15","true"
"200","7","15","true"
"201","10","15","true"
"202","11","15","true"
"203","5","15","true"
"204","3","15","true"
"205","9","15","true"
"206","6","15","true"
"207","10","15","true"
"208","21","15","true"
"209","21","15","true"
"210","28","15","true"
"211","25","15","true"
"212","20","15","true"
"213","21","15","true"
"214","37","15","true"
"215","36","15","true"
"216","20","15","true"
"217","19","15","true"
"218","33","15","true"
"219","32","15","true"
"220","39","15","true"
"221","52","15","true"
"222","58","15","true"
"223","76","15","true"
"224","65","15","true"
"225","78","15","true"
"226","89","15","true"
"227","88","15","true"
"228","101","15","true"
"229","97","15","true"
"230","93","15","true"
"231","111","15","true"
"232","102","15","true"
"233","97","15","true"
"234","104","15","true"
"235","115","15","true"
"236","100","15","true"
"237","99","15","true"
"238","123","15","true"
"239","115","15","true"
"240","120","15","true"
"241","97","15","true"
"242","93","15","true"
"243","113","15","true"
"244","96","15","true"
"245","123","15","true"
"246","148","15","true"
"247","88","15","true"
"248","55","15","true"
"249","64","15","true"
"250","53","15","true"
"251","59","15","true"
"252","58","15","true"
"253","52","15","true"
"254","38","15","true"
"255","36","15","true"
"256","40","15","true"
"257","34","15","true"
"258","21","15","true"
"259","22","15","true"
"260","32","15","true"
"261","36","15","true"
"262","25","15","true"
"263","33","15","true"
"264","32","15","true"
"265","21","15","true"
"266","38","15","true"
"267","26","15","true"
"268","27","15","true"
"269","48","15","true"
"270","33","15","true"
"271","32","15","true"
"272","36","15","true"
"273","32","15","true"
"274","25","15","true"
"275","35","15","true"
"276","34","15","true"
"277","44","15","true"
"278","54","15","true"
"279","39","15","true"
"280","41","15","true"
"281","44","15","true"
"282","40","15","true"
"283","36","15","true"
"284","24","15","true"
"285","34","15","true"
"286","27","15","true"
"287","22","15","true"
"288","31","15","true"
"289","26","15","true"
"290","27","15","true"
"291","22","15","true"
"292","31","15","true"
"293","32","15","true"
"294","32","15","true"
"295","36","15","true"
"296","30","15","true"
"297","25","15","true"
"298","30","15","true"
"299","28","15","true"
"300","29","15","true"
"301","35","15","true"
"302","26","15","true"
"303","31","15","true"
"304","36","15","true"
"305","25","15","true"
"306","30","15","true"
"307","35","15","true"
"308","38","15","true"
"309","29","15","true"
"310","31","15","true"
"311","32","15","true"
"312","27","15","true"
"313","18","15","true"
"314","27","15","true"
"315","30","15","true"
"316","23","15","true"
"317","31","15","true"
"318","17","15","true"
"319","24","15","true"
"320","34","15","true"
"321","27","15","true"
"322","28","15","true"
"323","28","15","true"
"324","24","15","true"
"325","24","15","true"
"326","23","15","true"
"327","25","15","true"
"328","17","15","true"
"329","16","15","true"
"330","17","15","true"
"331","22","15","true"
"332","19","15","true"
"333","26","15","true"
"334","19","15","true"
"335","22","15","true"
"336","24","15","true"
"337","28","15","true"
"338","24","15","true"
"339","25","15","true"
"340","32","15","true"
"341","27","15","true"
"342","23","15","true"
"343","27","15","true"
"344","27","15","true"
