"export-plot data (NetLogo 6.4.0)"
"vladviiob.nlogo"
"11/23/2024 00:03:29:144 +0100"

"MODEL SETTINGS"
"infection-chance","initial-infected","population-scaling","num-airports","num-ports","mortality-rate","airport-travel-chance","port-travel-chance","movement-radius","recovery-time-mean","recovery-time-sd","min-recovery-time","airports-and-ports-enabled?","select-infection-country?","isolation-enabled?","compliance-rate","heat-threshold","cold-threshold","virus-heat-resistance","virus-cold-resistance","isolation-compliance","infections-threshold","days-until-healthy"
"0.25","1","0.3","0","20","0.1","0.5","0.5","4","30","10","20","true","true","false","1","13","1","0.6","0.6","1","0.43","365"

"""Daily New Cases"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","146","0","57.2","true","""cases""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""cases""","true","0","1","15","120"

"""cases"""
"x","y","color","pen down?"
"0","2","15","true"
"1","0","15","true"
"2","1","15","true"
"3","1","15","true"
"4","0","15","true"
"5","3","15","true"
"6","0","15","true"
"7","2","15","true"
"8","1","15","true"
"9","2","15","true"
"10","2","15","true"
"11","1","15","true"
"12","0","15","true"
"13","0","15","true"
"14","4","15","true"
"15","1","15","true"
"16","1","15","true"
"17","2","15","true"
"18","1","15","true"
"19","1","15","true"
"20","0","15","true"
"21","3","15","true"
"22","2","15","true"
"23","5","15","true"
"24","2","15","true"
"25","3","15","true"
"26","4","15","true"
"27","3","15","true"
"28","4","15","true"
"29","2","15","true"
"30","0","15","true"
"31","0","15","true"
"32","3","15","true"
"33","4","15","true"
"34","7","15","true"
"35","5","15","true"
"36","6","15","true"
"37","4","15","true"
"38","6","15","true"
"39","6","15","true"
"40","7","15","true"
"41","7","15","true"
"42","4","15","true"
"43","7","15","true"
"44","6","15","true"
"45","10","15","true"
"46","8","15","true"
"47","5","15","true"
"48","8","15","true"
"49","10","15","true"
"50","7","15","true"
"51","18","15","true"
"52","18","15","true"
"53","9","15","true"
"54","9","15","true"
"55","13","15","true"
"56","13","15","true"
"57","26","15","true"
"58","52","15","true"
"59","14","15","true"
"60","7","15","true"
"61","9","15","true"
"62","7","15","true"
"63","7","15","true"
"64","8","15","true"
"65","9","15","true"
"66","9","15","true"
"67","10","15","true"
"68","12","15","true"
"69","7","15","true"
"70","9","15","true"
"71","16","15","true"
"72","18","15","true"
"73","13","15","true"
"74","15","15","true"
"75","14","15","true"
"76","23","15","true"
"77","26","15","true"
"78","27","15","true"
"79","25","15","true"
"80","27","15","true"
"81","14","15","true"
"82","17","15","true"
"83","27","15","true"
"84","19","15","true"
"85","17","15","true"
"86","12","15","true"
"87","8","15","true"
"88","8","15","true"
"89","14","15","true"
"90","16","15","true"
"91","10","15","true"
"92","4","15","true"
"93","3","15","true"
"94","4","15","true"
"95","6","15","true"
"96","8","15","true"
"97","8","15","true"
"98","7","15","true"
"99","10","15","true"
"100","11","15","true"
"101","8","15","true"
"102","7","15","true"
"103","12","15","true"
"104","11","15","true"
"105","7","15","true"
"106","8","15","true"
"107","13","15","true"
"108","11","15","true"
"109","10","15","true"
"110","10","15","true"
"111","15","15","true"
"112","18","15","true"
"113","14","15","true"
"114","7","15","true"
"115","11","15","true"
"116","5","15","true"
"117","10","15","true"
"118","12","15","true"
"119","20","15","true"
"120","19","15","true"
