"export-plot data (NetLogo 6.4.0)"
"vladviiob.nlogo"
"11/23/2024 00:07:54:920 +0100"

"MODEL SETTINGS"
"compliance-rate","port-travel-chance","initial-infected","virus-cold-resistance","days-until-healthy","infections-threshold","select-infection-country?","isolation-compliance","cold-threshold","virus-heat-resistance","movement-radius","population-scaling","min-recovery-time","heat-threshold","airports-and-ports-enabled?","infection-chance","isolation-enabled?","recovery-time-mean","mortality-rate","recovery-time-sd","airport-travel-chance","num-airports","num-ports"
"1","0.5","1","0.6","365","0.43","true","1","1","0.6","4","0.3","20","13","true","0.25","false","30","0.1","10","0.03","5","0"

"""Disease Progression"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","92.5","0","12600","true","""recovered""","true","4"

"pen name","pen down?","mode","interval","color","x"
"""recovered""","true","0","1","5","90"
"""infected""","true","0","1","15","90"
"""dead""","true","0","1","0","90"
"""healthy""","true","0","1","45","90"

"""recovered""",,,,"""infected""",,,,"""dead""",,,,"""healthy"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","0","5","true","0","0","15","true","0","0","0","true","0","0","45","true"
"1","0","5","true","1","4","15","true","1","0","0","true","1","11426","45","true"
"2","0","5","true","2","10","15","true","2","0","0","true","2","11420","45","true"
"3","0","5","true","3","16","15","true","3","0","0","true","3","11414","45","true"
"4","0","5","true","4","22","15","true","4","0","0","true","4","11408","45","true"
"5","0","5","true","5","23","15","true","5","0","0","true","5","11407","45","true"
"6","0","5","true","6","23","15","true","6","0","0","true","6","11407","45","true"
"7","0","5","true","7","23","15","true","7","0","0","true","7","11407","45","true"
"8","0","5","true","8","26","15","true","8","0","0","true","8","11404","45","true"
"9","0","5","true","9","29","15","true","9","0","0","true","9","11401","45","true"
"10","0","5","true","10","35","15","true","10","0","0","true","10","11395","45","true"
"11","0","5","true","11","40","15","true","11","0","0","true","11","11390","45","true"
"12","0","5","true","12","42","15","true","12","0","0","true","12","11388","45","true"
"13","0","5","true","13","47","15","true","13","0","0","true","13","11383","45","true"
"14","0","5","true","14","51","15","true","14","0","0","true","14","11379","45","true"
"15","0","5","true","15","52","15","true","15","0","0","true","15","11378","45","true"
"16","0","5","true","16","58","15","true","16","0","0","true","16","11372","45","true"
"17","0","5","true","17","60","15","true","17","0","0","true","17","11370","45","true"
"18","0","5","true","18","65","15","true","18","0","0","true","18","11365","45","true"
"19","0","5","true","19","74","15","true","19","0","0","true","19","11356","45","true"
"20","0","5","true","20","81","15","true","20","0","0","true","20","11349","45","true"
"21","1","5","true","21","92","15","true","21","0","0","true","21","11337","45","true"
"22","3","5","true","22","97","15","true","22","1","0","true","22","11329","45","true"
"23","4","5","true","23","102","15","true","23","1","0","true","23","11323","45","true"
"24","6","5","true","24","103","15","true","24","2","0","true","24","11319","45","true"
"25","7","5","true","25","108","15","true","25","2","0","true","25","11313","45","true"
"26","8","5","true","26","115","15","true","26","2","0","true","26","11305","45","true"
"27","9","5","true","27","123","15","true","27","2","0","true","27","11296","45","true"
"28","11","5","true","28","127","15","true","28","3","0","true","28","11289","45","true"
"29","15","5","true","29","134","15","true","29","3","0","true","29","11278","45","true"
"30","15","5","true","30","145","15","true","30","3","0","true","30","11267","45","true"
"31","15","5","true","31","157","15","true","31","3","0","true","31","11255","45","true"
"32","17","5","true","32","165","15","true","32","3","0","true","32","11245","45","true"
"33","19","5","true","33","171","15","true","33","3","0","true","33","11237","45","true"
"34","22","5","true","34","182","15","true","34","3","0","true","34","11223","45","true"
"35","24","5","true","35","192","15","true","35","3","0","true","35","11211","45","true"
"36","27","5","true","36","198","15","true","36","3","0","true","36","11202","45","true"
"37","30","5","true","37","202","15","true","37","3","0","true","37","11195","45","true"
"38","34","5","true","38","203","15","true","38","3","0","true","38","11190","45","true"
"39","40","5","true","39","206","15","true","39","3","0","true","39","11181","45","true"
"40","42","5","true","40","213","15","true","40","3","0","true","40","11172","45","true"
"41","46","5","true","41","220","15","true","41","4","0","true","41","11160","45","true"
"42","50","5","true","42","223","15","true","42","4","0","true","42","11153","45","true"
"43","52","5","true","43","230","15","true","43","4","0","true","43","11144","45","true"
"44","58","5","true","44","234","15","true","44","5","0","true","44","11133","45","true"
"45","62","5","true","45","242","15","true","45","5","0","true","45","11121","45","true"
"46","65","5","true","46","245","15","true","46","6","0","true","46","11114","45","true"
"47","70","5","true","47","250","15","true","47","7","0","true","47","11103","45","true"
"48","80","5","true","48","252","15","true","48","7","0","true","48","11091","45","true"
"49","82","5","true","49","259","15","true","49","7","0","true","49","11082","45","true"
"50","86","5","true","50","263","15","true","50","8","0","true","50","11073","45","true"
"51","90","5","true","51","278","15","true","51","8","0","true","51","11054","45","true"
"52","96","5","true","52","301","15","true","52","9","0","true","52","11024","45","true"
"53","103","5","true","53","302","15","true","53","9","0","true","53","11016","45","true"
"54","112","5","true","54","303","15","true","54","9","0","true","54","11006","45","true"
"55","127","5","true","55","299","15","true","55","9","0","true","55","10995","45","true"
"56","130","5","true","56","313","15","true","56","9","0","true","56","10978","45","true"
"57","134","5","true","57","324","15","true","57","9","0","true","57","10963","45","true"
"58","140","5","true","58","328","15","true","58","9","0","true","58","10953","45","true"
"59","147","5","true","59","335","15","true","59","10","0","true","59","10938","45","true"
"60","150","5","true","60","349","15","true","60","11","0","true","60","10920","45","true"
"61","162","5","true","61","353","15","true","61","11","0","true","61","10904","45","true"
"62","170","5","true","62","363","15","true","62","12","0","true","62","10885","45","true"
"63","181","5","true","63","369","15","true","63","13","0","true","63","10867","45","true"
"64","186","5","true","64","382","15","true","64","13","0","true","64","10849","45","true"
"65","196","5","true","65","389","15","true","65","13","0","true","65","10832","45","true"
"66","204","5","true","66","387","15","true","66","13","0","true","66","10826","45","true"
"67","212","5","true","67","388","15","true","67","14","0","true","67","10816","45","true"
"68","220","5","true","68","392","15","true","68","14","0","true","68","10804","45","true"
"69","228","5","true","69","394","15","true","69","14","0","true","69","10794","45","true"
"70","241","5","true","70","386","15","true","70","16","0","true","70","10787","45","true"
"71","259","5","true","71","380","15","true","71","17","0","true","71","10774","45","true"
"72","268","5","true","72","383","15","true","72","18","0","true","72","10761","45","true"
"73","283","5","true","73","381","15","true","73","19","0","true","73","10747","45","true"
"74","298","5","true","74","384","15","true","74","19","0","true","74","10729","45","true"
"75","315","5","true","75","380","15","true","75","20","0","true","75","10715","45","true"
"76","329","5","true","76","375","15","true","76","21","0","true","76","10705","45","true"
"77","334","5","true","77","381","15","true","77","23","0","true","77","10692","45","true"
"78","340","5","true","78","385","15","true","78","23","0","true","78","10682","45","true"
"79","351","5","true","79","378","15","true","79","26","0","true","79","10675","45","true"
"80","366","5","true","80","367","15","true","80","31","0","true","80","10666","45","true"
"81","382","5","true","81","358","15","true","81","34","0","true","81","10656","45","true"
"82","384","5","true","82","362","15","true","82","35","0","true","82","10649","45","true"
"83","393","5","true","83","360","15","true","83","36","0","true","83","10641","45","true"
"84","402","5","true","84","355","15","true","84","41","0","true","84","10632","45","true"
"85","412","5","true","85","352","15","true","85","43","0","true","85","10623","45","true"
"86","428","5","true","86","350","15","true","86","44","0","true","86","10608","45","true"
"87","441","5","true","87","349","15","true","87","44","0","true","87","10596","45","true"
"88","455","5","true","88","349","15","true","88","44","0","true","88","10582","45","true"
"89","468","5","true","89","345","15","true","89","45","0","true","89","10572","45","true"
"90","479","5","true","90","344","15","true","90","46","0","true","90","10561","45","true"
