"export-plot data (NetLogo 6.4.0)"
"vladviiob.nlogo"
"11/22/2024 23:36:02:359 +0100"

"MODEL SETTINGS"
"compliance-rate","port-travel-chance","initial-infected","virus-cold-resistance","days-until-healthy","infections-threshold","select-infection-country?","isolation-compliance","cold-threshold","virus-heat-resistance","movement-radius","population-scaling","min-recovery-time","heat-threshold","airports-and-ports-enabled?","infection-chance","isolation-enabled?","recovery-time-mean","mortality-rate","recovery-time-sd","airport-travel-chance","num-airports","num-ports"
"1","0.03","1","0.6","365","0.43","true","1","1","0.6","4","0.3","20","13","true","0.25","false","30","0.1","10","0.5","0","0"

"""Daily New Cases"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","184","0","52.8","true","""cases""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""cases""","true","0","1","15","150"

"""cases"""
"x","y","color","pen down?"
"0","5","15","true"
"1","5","15","true"
"2","0","15","true"
"3","1","15","true"
"4","6","15","true"
"5","4","15","true"
"6","3","15","true"
"7","3","15","true"
"8","1","15","true"
"9","1","15","true"
"10","0","15","true"
"11","1","15","true"
"12","2","15","true"
"13","2","15","true"
"14","2","15","true"
"15","1","15","true"
"16","5","15","true"
"17","2","15","true"
"18","2","15","true"
"19","3","15","true"
"20","0","15","true"
"21","2","15","true"
"22","1","15","true"
"23","3","15","true"
"24","4","15","true"
"25","4","15","true"
"26","7","15","true"
"27","8","15","true"
"28","6","15","true"
"29","8","15","true"
"30","3","15","true"
"31","4","15","true"
"32","5","15","true"
"33","5","15","true"
"34","7","15","true"
"35","10","15","true"
"36","11","15","true"
"37","12","15","true"
"38","8","15","true"
"39","18","15","true"
"40","11","15","true"
"41","12","15","true"
"42","12","15","true"
"43","19","15","true"
"44","32","15","true"
"45","48","15","true"
"46","10","15","true"
"47","4","15","true"
"48","12","15","true"
"49","12","15","true"
"50","8","15","true"
"51","10","15","true"
"52","8","15","true"
"53","11","15","true"
"54","5","15","true"
"55","2","15","true"
"56","2","15","true"
"57","5","15","true"
"58","6","15","true"
"59","9","15","true"
"60","10","15","true"
"61","9","15","true"
"62","9","15","true"
"63","11","15","true"
"64","8","15","true"
"65","11","15","true"
"66","9","15","true"
"67","12","15","true"
"68","12","15","true"
"69","12","15","true"
"70","14","15","true"
"71","13","15","true"
"72","18","15","true"
"73","20","15","true"
"74","19","15","true"
"75","18","15","true"
"76","18","15","true"
"77","17","15","true"
"78","21","15","true"
"79","18","15","true"
"80","19","15","true"
"81","25","15","true"
"82","25","15","true"
"83","23","15","true"
"84","14","15","true"
"85","13","15","true"
"86","17","15","true"
"87","12","15","true"
"88","10","15","true"
"89","10","15","true"
"90","11","15","true"
"91","10","15","true"
"92","9","15","true"
"93","11","15","true"
"94","4","15","true"
"95","10","15","true"
"96","11","15","true"
"97","8","15","true"
"98","8","15","true"
"99","3","15","true"
"100","7","15","true"
"101","6","15","true"
"102","8","15","true"
"103","8","15","true"
"104","10","15","true"
"105","7","15","true"
"106","10","15","true"
"107","7","15","true"
"108","12","15","true"
"109","11","15","true"
"110","9","15","true"
"111","6","15","true"
"112","12","15","true"
"113","11","15","true"
"114","9","15","true"
"115","10","15","true"
"116","8","15","true"
"117","10","15","true"
"118","11","15","true"
"119","12","15","true"
"120","14","15","true"
"121","6","15","true"
"122","6","15","true"
"123","8","15","true"
"124","8","15","true"
"125","8","15","true"
"126","6","15","true"
"127","10","15","true"
"128","6","15","true"
"129","10","15","true"
"130","11","15","true"
"131","10","15","true"
"132","21","15","true"
"133","12","15","true"
"134","16","15","true"
"135","11","15","true"
"136","13","15","true"
"137","6","15","true"
"138","10","15","true"
"139","5","15","true"
"140","8","15","true"
"141","9","15","true"
"142","7","15","true"
"143","8","15","true"
"144","7","15","true"
"145","7","15","true"
"146","8","15","true"
"147","6","15","true"
"148","6","15","true"
"149","3","15","true"
"150","8","15","true"
