"export-plot data (NetLogo 6.4.0)"
"vladviiob.nlogo"
"11/23/2024 00:47:04:863 +0100"

"MODEL SETTINGS"
"compliance-rate","port-travel-chance","initial-infected","virus-cold-resistance","days-until-healthy","infections-threshold","select-infection-country?","isolation-compliance","cold-threshold","virus-heat-resistance","movement-radius","population-scaling","min-recovery-time","heat-threshold","airports-and-ports-enabled?","infection-chance","isolation-enabled?","recovery-time-mean","mortality-rate","recovery-time-sd","airport-travel-chance","num-airports","num-ports"
"1","0.5","1","0.6","365","0.43","true","1","1","0.6","4","0.3","20","13","true","0.25","false","30","0.1","10","0.03","30","0"

"""Climate Impact"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","36.3","0","117","true","""hot""","false","3"

"pen name","pen down?","mode","interval","color","x"
"""hot""","true","0","1","25","30"
"""cold""","true","0","1","5","30"
"""moderate""","true","0","1","55","30"

"""hot""",,,,"""cold""",,,,"""moderate"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","0","25","true","0","0","5","true","0","0","55","true"
"1","0","25","true","1","0","5","true","1","4","55","true"
"2","0","25","true","2","0","5","true","2","8","55","true"
"3","0","25","true","3","0","5","true","3","9","55","true"
"4","0","25","true","4","1","5","true","4","10","55","true"
"5","0","25","true","5","1","5","true","5","11","55","true"
"6","0","25","true","6","1","5","true","6","14","55","true"
"7","0","25","true","7","1","5","true","7","17","55","true"
"8","0","25","true","8","1","5","true","8","18","55","true"
"9","0","25","true","9","1","5","true","9","19","55","true"
"10","0","25","true","10","1","5","true","10","21","55","true"
"11","0","25","true","11","1","5","true","11","25","55","true"
"12","0","25","true","12","3","5","true","12","26","55","true"
"13","0","25","true","13","3","5","true","13","29","55","true"
"14","0","25","true","14","4","5","true","14","31","55","true"
"15","0","25","true","15","5","5","true","15","35","55","true"
"16","0","25","true","16","5","5","true","16","41","55","true"
"17","0","25","true","17","6","5","true","17","45","55","true"
"18","2","25","true","18","7","5","true","18","51","55","true"
"19","2","25","true","19","8","5","true","19","56","55","true"
"20","3","25","true","20","8","5","true","20","62","55","true"
"21","3","25","true","21","7","5","true","21","66","55","true"
"22","3","25","true","22","7","5","true","22","72","55","true"
"23","3","25","true","23","10","5","true","23","72","55","true"
"24","3","25","true","24","15","5","true","24","74","55","true"
"25","3","25","true","25","16","5","true","25","84","55","true"
"26","4","25","true","26","18","5","true","26","87","55","true"
"27","5","25","true","27","20","5","true","27","88","55","true"
"28","5","25","true","28","21","5","true","28","95","55","true"
"29","6","25","true","29","24","5","true","29","101","55","true"
"30","6","25","true","30","26","5","true","30","106","55","true"
