"export-plot data (NetLogo 6.4.0)"
"vladviiob.nlogo"
"11/23/2024 00:50:05:094 +0100"

"MODEL SETTINGS"
"compliance-rate","port-travel-chance","initial-infected","virus-cold-resistance","days-until-healthy","infections-threshold","select-infection-country?","isolation-compliance","cold-threshold","virus-heat-resistance","movement-radius","population-scaling","min-recovery-time","heat-threshold","airports-and-ports-enabled?","infection-chance","isolation-enabled?","recovery-time-mean","mortality-rate","recovery-time-sd","airport-travel-chance","num-airports","num-ports"
"1","0.5","1","0.6","365","0.43","true","1","1","0.6","4","0.3","20","13","true","0.25","false","30","0.1","10","0.03","30","0"

"""Disease Progression"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","184","0","12900","true","""recovered""","true","4"

"pen name","pen down?","mode","interval","color","x"
"""recovered""","true","0","1","5","180"
"""infected""","true","0","1","15","180"
"""dead""","true","0","1","0","180"
"""healthy""","true","0","1","45","180"

"""recovered""",,,,"""infected""",,,,"""dead""",,,,"""healthy"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","0","5","true","0","0","15","true","0","0","0","true","0","0","45","true"
"1","0","5","true","1","1","15","true","1","0","0","true","1","11739","45","true"
"2","0","5","true","2","1","15","true","2","0","0","true","2","11739","45","true"
"3","0","5","true","3","2","15","true","3","0","0","true","3","11738","45","true"
"4","0","5","true","4","4","15","true","4","0","0","true","4","11736","45","true"
"5","0","5","true","5","6","15","true","5","0","0","true","5","11734","45","true"
"6","0","5","true","6","8","15","true","6","0","0","true","6","11732","45","true"
"7","0","5","true","7","12","15","true","7","0","0","true","7","11728","45","true"
"8","0","5","true","8","14","15","true","8","0","0","true","8","11726","45","true"
"9","0","5","true","9","16","15","true","9","0","0","true","9","11724","45","true"
"10","0","5","true","10","18","15","true","10","0","0","true","10","11722","45","true"
"11","0","5","true","11","18","15","true","11","0","0","true","11","11722","45","true"
"12","0","5","true","12","21","15","true","12","0","0","true","12","11719","45","true"
"13","0","5","true","13","22","15","true","13","0","0","true","13","11718","45","true"
"14","0","5","true","14","26","15","true","14","0","0","true","14","11714","45","true"
"15","0","5","true","15","29","15","true","15","0","0","true","15","11711","45","true"
"16","0","5","true","16","33","15","true","16","0","0","true","16","11707","45","true"
"17","0","5","true","17","39","15","true","17","0","0","true","17","11701","45","true"
"18","0","5","true","18","43","15","true","18","0","0","true","18","11697","45","true"
"19","0","5","true","19","53","15","true","19","0","0","true","19","11687","45","true"
"20","0","5","true","20","59","15","true","20","0","0","true","20","11681","45","true"
"21","0","5","true","21","64","15","true","21","0","0","true","21","11676","45","true"
"22","0","5","true","22","68","15","true","22","0","0","true","22","11672","45","true"
"23","1","5","true","23","70","15","true","23","0","0","true","23","11669","45","true"
"24","2","5","true","24","72","15","true","24","0","0","true","24","11666","45","true"
"25","2","5","true","25","77","15","true","25","0","0","true","25","11661","45","true"
"26","2","5","true","26","78","15","true","26","0","0","true","26","11660","45","true"
"27","2","5","true","27","83","15","true","27","0","0","true","27","11655","45","true"
"28","3","5","true","28","88","15","true","28","1","0","true","28","11648","45","true"
"29","4","5","true","29","94","15","true","29","1","0","true","29","11641","45","true"
"30","4","5","true","30","100","15","true","30","1","0","true","30","11635","45","true"
"31","6","5","true","31","105","15","true","31","1","0","true","31","11628","45","true"
"32","7","5","true","32","108","15","true","32","1","0","true","32","11624","45","true"
"33","8","5","true","33","115","15","true","33","1","0","true","33","11616","45","true"
"34","11","5","true","34","115","15","true","34","1","0","true","34","11613","45","true"
"35","13","5","true","35","115","15","true","35","2","0","true","35","11610","45","true"
"36","15","5","true","36","116","15","true","36","2","0","true","36","11607","45","true"
"37","16","5","true","37","121","15","true","37","3","0","true","37","11600","45","true"
