"export-plot data (NetLogo 6.4.0)"
"vladviiob.nlogo"
"11/23/2024 00:50:06:424 +0100"

"MODEL SETTINGS"
"infection-chance","initial-infected","population-scaling","num-airports","num-ports","mortality-rate","airport-travel-chance","port-travel-chance","movement-radius","recovery-time-mean","recovery-time-sd","min-recovery-time","airports-and-ports-enabled?","select-infection-country?","isolation-enabled?","compliance-rate","heat-threshold","cold-threshold","virus-heat-resistance","virus-cold-resistance","isolation-compliance","infections-threshold","days-until-healthy"
"0.25","1","0.3","30","0","0.1","0.5","0.03","4","30","10","20","true","true","false","1","13","1","0.6","0.6","1","0.43","365"

"""Daily New Cases"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","36.3","0","356","true","""cases""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""cases""","true","0","1","15","30"

"""cases"""
"x","y","color","pen down?"
"0","3","15","true"
"1","1","15","true"
"2","2","15","true"
"3","2","15","true"
"4","5","15","true"
"5","7","15","true"
"6","7","15","true"
"7","6","15","true"
"8","6","15","true"
"9","9","15","true"
"10","18","15","true"
"11","16","15","true"
"12","30","15","true"
"13","41","15","true"
"14","54","15","true"
"15","70","15","true"
"16","71","15","true"
"17","93","15","true"
"18","117","15","true"
"19","160","15","true"
"20","233","15","true"
"21","281","15","true"
"22","324","15","true"
"23","291","15","true"
"24","295","15","true"
"25","279","15","true"
"26","279","15","true"
"27","266","15","true"
"28","236","15","true"
"29","217","15","true"
"30","204","15","true"
