"export-plot data (NetLogo 6.4.0)"
"vladviiob.nlogo"
"11/23/2024 01:09:28:323 +0100"

"MODEL SETTINGS"
"infection-chance","initial-infected","population-scaling","num-airports","num-ports","mortality-rate","airport-travel-chance","port-travel-chance","movement-radius","recovery-time-mean","recovery-time-sd","min-recovery-time","airports-and-ports-enabled?","select-infection-country?","isolation-enabled?","compliance-rate","heat-threshold","cold-threshold","virus-heat-resistance","virus-cold-resistance","isolation-compliance","infections-threshold","days-until-healthy"
"0.25","1","0.3","30","5","0.1","0.5","0.03","4","30","10","20","true","true","false","1","13","1","0.6","0.6","1","0.43","365"

"""Daily New Cases"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","92.5","0","23.1","true","""cases""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""cases""","true","0","1","15","90"

"""cases"""
"x","y","color","pen down?"
"0","1","15","true"
"1","1","15","true"
"2","1","15","true"
"3","0","15","true"
"4","1","15","true"
"5","1","15","true"
"6","3","15","true"
"7","5","15","true"
"8","2","15","true"
"9","3","15","true"
"10","0","15","true"
"11","0","15","true"
"12","2","15","true"
"13","2","15","true"
"14","4","15","true"
"15","4","15","true"
"16","5","15","true"
"17","4","15","true"
"18","10","15","true"
"19","5","15","true"
"20","4","15","true"
"21","5","15","true"
"22","6","15","true"
"23","7","15","true"
"24","6","15","true"
"25","14","15","true"
"26","12","15","true"
"27","16","15","true"
"28","8","15","true"
"29","7","15","true"
"30","15","15","true"
"31","12","15","true"
"32","14","15","true"
"33","10","15","true"
"34","10","15","true"
"35","5","15","true"
"36","5","15","true"
"37","4","15","true"
"38","7","15","true"
"39","7","15","true"
"40","4","15","true"
"41","9","15","true"
"42","7","15","true"
"43","13","15","true"
"44","7","15","true"
"45","11","15","true"
"46","11","15","true"
"47","12","15","true"
"48","19","15","true"
"49","20","15","true"
"50","17","15","true"
"51","16","15","true"
"52","21","15","true"
"53","22","15","true"
"54","7","15","true"
"55","12","15","true"
"56","10","15","true"
"57","13","15","true"
"58","15","15","true"
"59","14","15","true"
"60","20","15","true"
"61","10","15","true"
"62","8","15","true"
"63","7","15","true"
"64","7","15","true"
"65","2","15","true"
"66","1","15","true"
"67","4","15","true"
"68","3","15","true"
"69","3","15","true"
"70","3","15","true"
"71","5","15","true"
"72","1","15","true"
"73","4","15","true"
"74","3","15","true"
"75","7","15","true"
"76","3","15","true"
"77","5","15","true"
"78","4","15","true"
"79","6","15","true"
"80","3","15","true"
"81","4","15","true"
"82","1","15","true"
"83","5","15","true"
"84","6","15","true"
"85","2","15","true"
"86","3","15","true"
"87","6","15","true"
"88","8","15","true"
"89","9","15","true"
"90","6","15","true"
