experiment,run,configuration,peak_infected,peak_infected_tick,time_to_peak,final_infected,final_recovered,final_dead,max_hot_transmission,max_cold_transmission,max_moderate_transmission,total_airport_usage,total_port_usage,max_affected_countries,total_cross_border,total_within_country
Transportation_Study,7,hr0.6_cr0.6_tptrue_isfalse_ap0,1,0,0,1,0,0,0,0,3.379520108144643E-4,0,0,1,0,1
Transportation_Study,9,hr0.6_cr0.6_tptrue_isfalse_ap0,2,0,0,2,0,0,0,0,6.759040216289286E-4,0,0,1,0,2
Transportation_Study,1,hr0.6_cr0.6_tptrue_isfalse_ap0,1,0,0,1,0,0,0,0,3.379520108144643E-4,0,0,1,0,1
Transportation_Study,8,hr0.6_cr0.6_tptrue_isfalse_ap0,2,0,0,2,0,0,0,0,6.71366230278617E-4,0,0,1,0,2
Transportation_Study,12,hr0.6_cr0.6_tptrue_isfalse_ap0,3,0,0,3,0,0,0,0,0.001012829169480081,0,0,1,0,3
Transportation_Study,2,hr0.6_cr0.6_tptrue_isfalse_ap0,1,0,0,1,0,0,0,0,3.386386725364037E-4,0,0,1,0,1
Transportation_Study,5,hr0.6_cr0.6_tptrue_isfalse_ap0,2,0,0,2,0,0,0,0,6.657789613848203E-4,0,0,2,0,2
Transportation_Study,10,hr0.6_cr0.6_tptrue_isfalse_ap0,4,0,0,4,0,0,0,0,0.0013536379018612521,0,0,1,0,4
Transportation_Study,4,hr0.6_cr0.6_tptrue_isfalse_ap0,1,0,0,1,0,0,0,0,3.379520108144643E-4,0,0,1,0,1
Transportation_Study,3,hr0.6_cr0.6_tptrue_isfalse_ap0,2,0,0,2,0,0,0,0,6.747638326585695E-4,0,0,1,0,2
Transportation_Study,6,hr0.6_cr0.6_tptrue_isfalse_ap0,4,0,0,4,0,0,0,0,0.0013201320132013201,0,0,1,0,4
Transportation_Study,11,hr0.6_cr0.6_tptrue_isfalse_ap0,6,0,0,6,0,0,0,0,0.0019946808510638296,0,0,1,0,6
Transportation_Study,7,hr0.6_cr0.6_tptrue_isfalse_ap0,793,365,365,793,6356,709,0.05064456721915286,0.06262626262626263,0.11456573166610341,0,0,30,0,793
Transportation_Study,9,hr0.6_cr0.6_tptrue_isfalse_ap0,716,365,365,716,5197,549,0.03126465530717524,5.053057099545225E-4,0.17404528556944915,0,0,11,0,716
Transportation_Study,2,hr0.6_cr0.6_tptrue_isfalse_ap0,6,365,365,6,823,105,9.233610341643582E-4,0,0,0,0,2,0,6
Transportation_Study,8,hr0.6_cr0.6_tptrue_isfalse_ap0,413,365,365,413,6071,718,0.009057414798894688,0.053034166241713414,0.08392077878482712,0,0,13,0,413
Transportation_Study,13,hr0.6_cr0.6_tptrue_isfalse_ap0,1,0,0,1,0,0,0,0,3.3500837520938025E-4,0,0,1,0,1
Transportation_Study,5,hr0.6_cr0.6_tptrue_isfalse_ap0,634,365,365,634,5848,630,0.03223825606386245,0.03233956543708944,0.11984021304926765,0,0,18,0,634
Transportation_Study,14,hr0.6_cr0.6_tptrue_isfalse_ap0,3,0,0,3,0,0,0,0,0.0010152284263959391,0,0,1,0,3
Transportation_Study,10,hr0.6_cr0.6_tptrue_isfalse_ap0,391,365,365,391,6668,733,0.009852216748768473,0.0717896865520728,0.06260575296108291,0,0,14,0,391
Transportation_Study,3,hr0.6_cr0.6_tptrue_isfalse_ap0,12,365,365,12,901,80,0.001074443591711435,0.0024838549428713363,0,0,0,3,0,12
Transportation_Study,12,hr0.6_cr0.6_tptrue_isfalse_ap0,878,365,365,878,5520,601,0.05667642076081934,0.02813425468904245,0.15293720459149224,0,0,19,0,878
Transportation_Study,15,hr0.6_cr0.6_tptrue_isfalse_ap0,1,0,0,1,0,0,0,0,3.3829499323410016E-4,0,0,1,0,1
Transportation_Study,16,hr0.6_cr0.6_tptrue_isfalse_ap0,1,0,0,1,0,0,0,0,3.3523298692591353E-4,0,0,1,0,1
Transportation_Study,17,hr0.6_cr0.6_tptrue_isfalse_ap0,1,0,0,1,0,0,0,0,3.386386725364037E-4,0,0,1,0,1
Transportation_Study,1,hr0.6_cr0.6_tptrue_isfalse_ap0,725,365,365,725,5573,648,0.041891267518866473,0.01593625498007968,0.1422777965528895,0,0,20,0,725
Transportation_Study,18,hr0.6_cr0.6_tptrue_isfalse_ap0,3,0,0,3,0,0,0,0,0.0010152284263959391,0,0,1,0,3
Transportation_Study,19,hr0.6_cr0.6_tptrue_isfalse_ap0,2,0,0,2,0,0,0,0,6.768189509306261E-4,0,0,1,0,2
Transportation_Study,6,hr0.6_cr0.6_tptrue_isfalse_ap0,36,365,365,36,935,99,0.0010759299108515216,0.014676113360323886,0,0,0,4,0,36
Transportation_Study,20,hr0.6_cr0.6_tptrue_isfalse_ap0,3,0,0,3,0,0,0,0,0.0010131712259371835,0,0,1,0,3
Transportation_Study,4,hr0.6_cr0.6_tptrue_isfalse_ap0,805,365,365,805,5960,634,0.03206013192207394,0.04181985294117647,0.1706657654613045,0,0,21,0,805
Transportation_Study,11,hr0.6_cr0.6_tptrue_isfalse_ap0,627,365,365,627,6676,766,0.036192823040197136,0.05707070707070707,0.09275265957446809,0,0,31,0,627
Transportation_Study,21,hr0.6_cr0.6_tptrue_isfalse_ap0,1,0,0,1,0,0,0,0,3.35795836131632E-4,0,0,1,0,1
Transportation_Study,22,hr0.6_cr0.6_tptrue_isfalse_ap0,1,0,0,1,0,0,0,0,3.3840947546531303E-4,0,0,1,0,1
Transportation_Study,23,hr0.6_cr0.6_tptrue_isfalse_ap0,1,0,0,1,0,0,0,0,3.386386725364037E-4,0,0,1,0,1
Transportation_Study,24,hr0.6_cr0.6_tptrue_isfalse_ap0,2,0,0,2,0,0,0,0,6.768189509306261E-4,0,0,1,0,2
Transportation_Study,13,hr0.6_cr0.6_tptrue_isfalse_ap0,531,365,365,531,6436,705,0.015991305697873,0.06564956079519187,0.09581239530988275,0,0,23,0,531
Transportation_Study,14,hr0.6_cr0.6_tptrue_isfalse_ap0,612,365,365,612,6414,759,0.014626635873749037,0.06265790803436079,0.132994923857868,0,0,17,0,612
Transportation_Study,16,hr0.6_cr0.6_tptrue_isfalse_ap0,418,365,365,418,6365,749,0.008008624672724472,0.05701311806256307,0.08481394569225612,0,0,12,0,418
Transportation_Study,15,hr0.6_cr0.6_tptrue_isfalse_ap0,922,365,365,922,5305,627,0.045580535879273174,0.03093812375249501,0.19079837618403248,0,0,21,0,922
Transportation_Study,25,hr0.6_cr0.6_tptrue_isfalse_ap0,2,0,0,2,0,0,0,0,6.759040216289286E-4,0,0,1,0,2
Transportation_Study,17,hr0.6_cr0.6_tptrue_isfalse_ap0,483,365,365,483,6748,727,0.017584097859327217,0.011133603238866396,0.11716898069759567,0,0,18,0,483
Transportation_Study,18,hr0.6_cr0.6_tptrue_isfalse_ap0,740,365,365,740,5362,603,0.04007258430364434,0.019706922688226377,0.14754653130287648,0,0,16,0,740
Transportation_Study,19,hr0.6_cr0.6_tptrue_isfalse_ap0,569,365,365,569,6465,687,0.008561382051674057,0.06189751395230847,0.1323181049069374,0,0,14,0,569
Transportation_Study,26,hr0.6_cr0.6_tptrue_isfalse_ap0,2,0,0,2,0,0,0,0,6.768189509306261E-4,0,0,1,0,2
Transportation_Study,27,hr0.6_cr0.6_tptrue_isfalse_ap0,2,0,0,2,0,0,0,0,6.752194463200541E-4,0,0,2,0,2
Transportation_Study,28,hr0.6_cr0.6_tptrue_isfalse_ap0,3,0,0,3,0,0,0,0,0.0010152284263959391,0,0,1,0,3
Transportation_Study,29,hr0.6_cr0.6_tptrue_isfalse_ap0,3,0,0,3,0,0,0,0,0.0010131712259371835,0,0,1,0,3
Transportation_Study,20,hr0.6_cr0.6_tptrue_isfalse_ap0,1,365,365,1,851,88,1.5356265356265356E-4,0,0,0,0,1,0,1
Transportation_Study,30,hr0.6_cr0.6_tptrue_isfalse_ap0,5,0,0,5,0,0,0,0,0.0016931933626820183,0,0,2,0,5
Transportation_Study,31,hr0.6_cr0.6_tptrue_isfalse_ap0,2,0,0,2,0,0,0,0,6.772773450728074E-4,0,0,1,0,2
Transportation_Study,32,hr0.6_cr0.6_tptrue_isfalse_ap0,2,0,0,2,0,0,0,0,6.731740154830024E-4,0,0,1,0,2
Transportation_Study,21,hr0.6_cr0.6_tptrue_isfalse_ap0,601,365,365,601,6462,669,0.00965813276099954,0.035371399696816574,0.15715245130960376,0,0,18,0,601
Transportation_Study,22,hr0.6_cr0.6_tptrue_isfalse_ap0,807,365,365,807,5843,652,0.028492222393346683,0.03291770573566085,0.18815566835871406,0,0,21,0,807
Transportation_Study,24,hr0.6_cr0.6_tptrue_isfalse_ap0,851,365,365,851,6065,688,0.06666666666666667,0.04079601990049751,0.11370558375634518,0,0,22,0,851
Transportation_Study,23,hr0.6_cr0.6_tptrue_isfalse_ap0,572,365,365,572,6557,664,0.023581997533908754,0.08135421930267812,0.08736877751439215,0,0,18,0,572
Transportation_Study,33,hr0.6_cr0.6_tptrue_isfalse_ap0,1,0,0,1,0,0,0,0,3.3760972316002703E-4,0,0,1,0,1
Transportation_Study,34,hr0.6_cr0.6_tptrue_isfalse_ap0,3,0,0,3,0,0,0,0,0.001012829169480081,0,0,2,0,3
Transportation_Study,35,hr0.6_cr0.6_tptrue_isfalse_ap0,2,0,0,2,0,0,0,0,6.704659738518271E-4,0,0,1,0,2
Transportation_Study,36,hr0.6_cr0.6_tptrue_isfalse_ap0,3,0,0,3,0,0,0,0,9.923916639100231E-4,0,0,1,0,3
Transportation_Study,25,hr0.6_cr0.6_tptrue_isfalse_ap0,504,365,365,504,5615,661,0.027362055933484505,0.010611419909044972,0.10206150726596823,0,0,9,0,504
Transportation_Study,26,hr0.6_cr0.6_tptrue_isfalse_ap0,586,365,365,586,6020,675,0.03388011651080791,0.008849557522123894,0.1170896785109983,0,0,16,0,586
Transportation_Study,27,hr0.6_cr0.6_tptrue_isfalse_ap0,767,365,365,767,5505,610,0.04292110545005404,0.023952095808383235,0.1488858879135719,0,0,19,0,767
Transportation_Study,28,hr0.6_cr0.6_tptrue_isfalse_ap0,855,365,365,855,5657,590,0.043701799485861184,0.03992015968063872,0.16446700507614212,0,0,23,0,855
Transportation_Study,37,hr0.6_cr0.6_tptrue_isfalse_ap0,3,0,0,3,0,0,0,0,0.0010107816711590297,0,0,2,0,3
Transportation_Study,38,hr0.6_cr0.6_tptrue_isfalse_ap0,3,0,0,3,0,0,0,0,9.973404255319148E-4,0,0,2,0,3
Transportation_Study,39,hr0.6_cr0.6_tptrue_isfalse_ap0,4,0,0,4,0,0,0,0,0.0013545546901456147,0,0,2,0,4
Transportation_Study,31,hr0.6_cr0.6_tptrue_isfalse_ap0,448,365,365,448,6169,704,0.02103485337018271,0.02385685884691849,0.08906197087707417,0,0,18,0,448
Transportation_Study,29,hr0.6_cr0.6_tptrue_isfalse_ap0,814,365,365,814,5843,674,0.02401847575057737,0.02829711975745326,0.2033096926713948,0,0,16,0,814
Transportation_Study,40,hr0.6_cr0.6_tptrue_isfalse_ap0,3,0,0,3,0,0,0,0,0.0010145417653026716,0,0,1,0,3
Transportation_Study,30,hr0.6_cr0.6_tptrue_isfalse_ap0,632,365,365,632,5790,644,0.02410933660933661,0.023418036870951668,0.14493735184558076,0,0,15,0,632
Transportation_Study,41,hr0.6_cr0.6_tptrue_isfalse_ap0,2,0,0,2,0,0,0,0,6.752194463200541E-4,0,0,1,0,2
Transportation_Study,43,hr0.6_cr0.6_tptrue_isfalse_ap0,5,0,0,5,0,0,0,0,0.001692047377326565,0,0,2,0,5
Transportation_Study,42,hr0.6_cr0.6_tptrue_isfalse_ap0,3,0,0,3,0,0,0,0,0.001013856032443393,0,0,2,0,3
Transportation_Study,32,hr0.6_cr0.6_tptrue_isfalse_ap0,734,365,365,734,5554,614,0.037573144441022485,0.019706922688226377,0.15180074049141704,0,0,13,0,734
Transportation_Study,44,hr0.6_cr0.6_tptrue_isfalse_ap0,1,0,0,1,0,0,0,0,3.374957813027337E-4,0,0,1,0,1
Transportation_Study,33,hr0.6_cr0.6_tptrue_isfalse_ap0,0,313,313,0,824,87,0,0,0,0,0,0,0,0
Transportation_Study,37,hr0.6_cr0.6_tptrue_isfalse_ap0,1002,365,365,1002,6131,694,0.07263513513513513,0.06278026905829596,0.13578167115902964,0,0,27,0,1002
Transportation_Study,35,hr0.6_cr0.6_tptrue_isfalse_ap0,745,365,365,745,5598,671,0.040399385560675884,0.02200825309491059,0.14549111632584646,0,0,18,0,745
Transportation_Study,34,hr0.6_cr0.6_tptrue_isfalse_ap0,866,365,365,866,6659,752,0.03849114703618168,0.11040235525024533,0.13200540175557057,0,0,31,0,866
Transportation_Study,36,hr0.6_cr0.6_tptrue_isfalse_ap0,482,365,365,482,5573,593,0.015809669992325404,0.0014970059880239522,0.12437975521005623,0,0,11,0,482
Transportation_Study,39,hr0.6_cr0.6_tptrue_isfalse_ap0,435,365,365,435,6551,728,0.009237875288683603,0.06483790523690773,0.0829664747714189,0,0,15,0,435
Transportation_Study,40,hr0.6_cr0.6_tptrue_isfalse_ap0,297,365,365,297,5781,658,0.00214987714987715,0.016194331983805668,0.0848833276969902,0,0,9,0,297
Transportation_Study,46,hr0.6_cr0.6_tptrue_isfalse_ap0,2,0,0,2,0,0,0,0,6.706908115358819E-4,0,0,1,0,2
Transportation_Study,45,hr0.6_cr0.6_tptrue_isfalse_ap0,4,0,0,4,0,0,0,0,0.0013518080432578573,0,0,1,0,4
Transportation_Study,47,hr0.6_cr0.6_tptrue_isfalse_ap0,2,0,0,2,0,0,0,0,6.642311524410495E-4,0,0,1,0,2
Transportation_Study,50,hr0.6_cr0.6_tptrue_isfalse_ap0,2,0,0,2,0,0,0,0,6.729475100942127E-4,0,0,1,0,2
Transportation_Study,38,hr0.6_cr0.6_tptrue_isfalse_ap0,943,365,365,943,6065,661,0.08344880677444187,0.04901465386558868,0.10106382978723404,0,0,29,0,943
Transportation_Study,48,hr0.6_cr0.6_tptrue_isfalse_ap0,2,0,0,2,0,0,0,0,6.768189509306261E-4,0,0,1,0,2
Transportation_Study,51,hr0.6_cr0.6_tptrue_isfalse_ap0,1,0,0,1,0,0,0,0,3.3840947546531303E-4,0,0,1,0,1
Transportation_Study,49,hr0.6_cr0.6_tptrue_isfalse_ap0,4,0,0,4,0,0,0,0,0.0013297872340425532,0,0,2,0,4
Transportation_Study,52,hr0.6_cr0.6_tptrue_isfalse_ap0,2,0,0,2,0,0,0,0,6.71591672263264E-4,0,0,1,0,2
Transportation_Study,43,hr0.6_cr0.6_tptrue_isfalse_ap0,931,365,365,931,6135,648,0.07131854590264941,0.05727091633466135,0.1194585448392555,0,0,26,0,931
Transportation_Study,41,hr0.6_cr0.6_tptrue_isfalse_ap0,536,365,365,536,6134,710,0.018013856812933025,0.05012531328320802,0.10769750168804862,0,0,21,0,536
Transportation_Study,42,hr0.6_cr0.6_tptrue_isfalse_ap0,914,365,365,914,6608,740,0.06326781326781326,0.10220994475138122,0.09462656302805002,0,0,22,0,914
Transportation_Study,53,hr0.6_cr0.6_tptrue_isfalse_ap0,3,0,0,3,0,0,0,0,0.0010152284263959391,0,0,1,0,3
Transportation_Study,46,hr0.6_cr0.6_tptrue_isfalse_ap0,6,365,365,6,860,83,9.20951650038373E-4,0,0,0,0,1,0,6
Transportation_Study,44,hr0.6_cr0.6_tptrue_isfalse_ap0,794,365,365,794,5380,600,0.049046740467404676,0.01616978271854472,0.14951063111711105,0,0,20,0,794
Transportation_Study,54,hr0.6_cr0.6_tptrue_isfalse_ap0,1,0,0,1,0,0,0,0,3.379520108144643E-4,0,0,1,0,1
Transportation_Study,55,hr0.6_cr0.6_tptrue_isfalse_ap0,3,0,0,3,0,0,0,0,0.001013856032443393,0,0,2,0,3
Transportation_Study,50,hr0.6_cr0.6_tptrue_isfalse_ap0,314,365,365,314,6356,696,0.0103029371059511,0.02445109780439122,0.06662180349932706,0,0,16,0,314
Transportation_Study,56,hr0.6_cr0.6_tptrue_isfalse_ap0,2,0,0,2,0,0,0,0,6.648936170212766E-4,0,0,1,0,2
Transportation_Study,51,hr0.6_cr0.6_tptrue_isfalse_ap0,584,365,365,584,6088,672,0.014637904468412942,0.014780835881753314,0.155668358714044,0,0,17,0,584
Transportation_Study,57,hr0.6_cr0.6_tptrue_isfalse_ap0,3,0,0,3,0,0,0,0,0.001013856032443393,0,0,1,0,3
Transportation_Study,58,hr0.6_cr0.6_tptrue_isfalse_ap0,2,0,0,2,0,0,0,0,6.768189509306261E-4,0,0,1,0,2
Transportation_Study,59,hr0.6_cr0.6_tptrue_isfalse_ap0,3,0,0,3,0,0,0,0,0.001013856032443393,0,0,1,0,3
Transportation_Study,47,hr0.6_cr0.6_tptrue_isfalse_ap0,1,365,365,1,876,102,1.5335071308081582E-4,0,0,0,0,1,0,1
Transportation_Study,45,hr0.6_cr0.6_tptrue_isfalse_ap0,496,365,365,496,6608,709,0.00879086983343615,0.0704868154158215,0.1013856032443393,0,0,18,0,496
Transportation_Study,49,hr0.6_cr0.6_tptrue_isfalse_ap0,590,365,365,590,5621,596,0.014166923313828149,0.02491280518186348,0.14893617021276595,0,0,15,0,590
Transportation_Study,48,hr0.6_cr0.6_tptrue_isfalse_ap0,771,365,365,771,6767,709,0.049060064190738197,0.08882235528942116,0.09204737732656515,0,0,30,0,771
Transportation_Study,52,hr0.6_cr0.6_tptrue_isfalse_ap0,514,365,365,514,6174,680,0.027773515421206076,0.02440264361972547,0.0957018132975151,0,0,17,0,514
Transportation_Study,60,hr0.6_cr0.6_tptrue_isfalse_ap0,3,0,0,3,0,0,0,0,0.0010152284263959391,0,0,1,0,3
Transportation_Study,61,hr0.6_cr0.6_tptrue_isfalse_ap0,3,0,0,3,0,0,0,0,0.001012829169480081,0,0,1,0,3
Transportation_Study,62,hr0.6_cr0.6_tptrue_isfalse_ap0,2,0,0,2,0,0,0,0,6.642311524410495E-4,0,0,1,0,2
Transportation_Study,63,hr0.6_cr0.6_tptrue_isfalse_ap0,3,0,0,3,0,0,0,0,0.0010141987829614604,0,0,2,0,3
Transportation_Study,64,hr0.6_cr0.6_tptrue_isfalse_ap0,1,0,0,1,0,0,0,0,3.3829499323410016E-4,0,0,1,0,1
Transportation_Study,53,hr0.6_cr0.6_tptrue_isfalse_ap0,748,365,365,748,4850,579,0.03804264457738917,0,0.1692047377326565,0,0,9,0,748
Transportation_Study,56,hr0.6_cr0.6_tptrue_isfalse_ap0,0,322,322,0,917,89,0,0,0,0,0,0,0,0
Transportation_Study,66,hr0.6_cr0.6_tptrue_isfalse_ap0,1,0,0,1,0,0,0,0,3.3760972316002703E-4,0,0,1,0,1
Transportation_Study,65,hr0.6_cr0.6_tptrue_isfalse_ap0,4,0,0,4,0,0,0,0,0.001343183344526528,0,0,1,0,4
Transportation_Study,54,hr0.6_cr0.6_tptrue_isfalse_ap0,808,365,365,808,5528,576,0.04492820750347383,0.0249500998003992,0.15782358905035485,0,0,21,0,808
Transportation_Study,55,hr0.6_cr0.6_tptrue_isfalse_ap0,498,365,365,498,6276,653,0.012320961034960727,0.020718232044198894,0.1260561000337952,0,0,21,0,498
Transportation_Study,58,hr0.6_cr0.6_tptrue_isfalse_ap0,149,365,365,149,901,100,0.02285276073619632,0,0,0,0,4,0,149
Transportation_Study,59,hr0.6_cr0.6_tptrue_isfalse_ap0,767,365,365,767,5214,563,0.03786945812807882,0.020717534108135423,0.1622169651909429,0,0,23,0,767
Transportation_Study,68,hr0.6_cr0.6_tptrue_isfalse_ap0,3,0,0,3,0,0,0,0,0.0010152284263959391,0,0,1,0,3
Transportation_Study,67,hr0.6_cr0.6_tptrue_isfalse_ap0,1,0,0,1,0,0,0,0,3.4234851078397807E-4,0,0,1,0,1
Transportation_Study,69,hr0.6_cr0.6_tptrue_isfalse_ap0,3,0,0,3,0,0,0,0,0.0010152284263959391,0,0,1,0,3
Transportation_Study,57,hr0.6_cr0.6_tptrue_isfalse_ap0,580,365,365,580,6170,663,0.018173417526567072,0.05132037867463876,0.1213247718823927,0,0,16,0,580
Transportation_Study,70,hr0.6_cr0.6_tptrue_isfalse_ap0,1,0,0,1,0,0,0,0,3.3311125916055963E-4,0,0,1,0,1
Transportation_Study,71,hr0.6_cr0.6_tptrue_isfalse_ap0,1,0,0,1,0,0,0,0,3.3760972316002703E-4,0,0,1,0,1
Transportation_Study,60,hr0.6_cr0.6_tptrue_isfalse_ap0,1003,365,365,1003,5995,670,0.08277027027027027,0.06477329347284504,0.11302876480541456,0,0,27,0,1003
Transportation_Study,64,hr0.6_cr0.6_tptrue_isfalse_ap0,816,365,365,816,6474,693,0.059140612967811486,0.043961596766043456,0.11671177266576455,0,0,26,0,816
