tick,total_infected,total_recovered,total_dead,total_healthy,hot_region_infected,cold_region_infected,moderate_region_infected,airport_usage,port_usage,num_isolated_countries,num_affected_countries,most_affected_country,most_deaths_country,hot_region_transmission_rate,cold_region_transmission_rate,moderate_region_transmission_rate,cross_border_infections,within_country_infections
0,1,0,0,11479,0,0,1,0,66,0,1,Romania,,0,0,3.379520108144643E-4,0,1
1,1,0,0,11479,0,0,1,0,89,0,1,Romania,,0,0,3.379520108144643E-4,1,0
2,1,0,0,11479,0,0,1,0,107,0,1,Romania,,0,0,3.379520108144643E-4,1,0
3,1,0,0,11479,0,0,1,0,114,0,1,Romania,,0,0,3.379520108144643E-4,1,0
4,1,0,0,11479,0,0,1,0,127,0,1,Romania,,0,0,3.379520108144643E-4,1,0
5,1,0,0,11479,0,0,1,0,131,0,1,Romania,,0,0,3.379520108144643E-4,1,0
6,1,0,0,11479,0,0,1,0,142,0,1,Romania,,0,0,3.379520108144643E-4,1,0
7,1,0,0,11479,0,0,1,0,148,0,1,Romania,,0,0,3.379520108144643E-4,1,0
8,1,0,0,11479,0,0,1,0,153,0,1,Romania,,0,0,3.379520108144643E-4,1,0
9,2,0,0,11478,1,0,1,0,158,0,1,Romania,,1.5351550506601167E-4,0,3.379520108144643E-4,1,1
10,2,0,0,11478,1,0,1,0,173,0,1,Romania,,1.5351550506601167E-4,0,3.379520108144643E-4,0,2
11,2,0,0,11478,1,0,1,0,193,0,2,Philippines,,1.5351550506601167E-4,0,3.379520108144643E-4,1,1
12,2,0,0,11478,1,0,1,0,204,0,2,Romania,,1.5351550506601167E-4,0,3.379520108144643E-4,1,1
13,2,0,0,11478,1,0,1,0,214,0,2,Philippines,,1.5351550506601167E-4,0,3.379520108144643E-4,1,1
14,2,0,0,11478,1,0,1,0,228,0,2,Romania,,1.5351550506601167E-4,0,3.379520108144643E-4,2,0
15,2,0,0,11478,1,0,1,0,237,0,2,Romania,,1.5351550506601167E-4,0,3.379520108144643E-4,2,0
16,2,0,0,11478,1,0,1,0,246,0,2,Romania,,1.5351550506601167E-4,0,3.379520108144643E-4,2,0
17,3,0,0,11477,2,0,1,0,252,0,2,Tanzania,,3.0703101013202335E-4,0,3.379520108144643E-4,2,1
18,4,0,0,11476,2,0,2,0,257,0,2,Romania,,3.0703101013202335E-4,0,6.759040216289286E-4,3,1
19,7,0,0,11473,5,0,2,0,262,0,2,Philippines,,7.675775253300583E-4,0,6.759040216289286E-4,3,4
20,10,0,0,11470,7,1,2,0,271,0,3,Philippines,,0.0010746085354620817,4.982561036372695E-4,6.759040216289286E-4,3,7
21,13,0,0,11467,9,2,2,0,279,0,3,Philippines,,0.001381639545594105,9.96512207274539E-4,6.759040216289286E-4,4,9
22,15,0,0,11465,11,2,2,0,283,0,3,Tanzania,,0.0016886705557261283,9.96512207274539E-4,6.759040216289286E-4,4,11
23,20,0,0,11460,15,2,3,0,292,0,4,Tanzania,,0.002302732575990175,9.96512207274539E-4,0.001013856032443393,5,15
24,26,0,0,11454,20,3,3,0,304,0,6,Tanzania,,0.003070310101320233,0.0014947683109118087,0.001013856032443393,8,18
25,30,0,0,11450,24,3,3,0,314,0,7,Tanzania,,0.00368437212158428,0.0014947683109118087,0.001013856032443393,11,19
26,33,0,0,11447,26,3,4,0,322,0,7,Tanzania,,0.003991403131716303,0.0014947683109118087,0.0013518080432578573,13,20
27,37,0,0,11443,29,3,5,0,332,0,7,Tanzania,,0.004451949646914338,0.0014947683109118087,0.0016897600540723217,13,24
28,40,0,0,11440,31,4,5,0,341,0,8,Tanzania,,0.004758980657046362,0.001993024414549078,0.0016897600540723217,13,27
29,47,0,0,11433,36,5,6,0,351,0,9,Tanzania,,0.00552655818237642,0.002491280518186348,0.002027712064886786,18,29
30,52,0,0,11428,41,5,6,0,356,0,9,Tanzania,,0.006294135707706479,0.002491280518186348,0.002027712064886786,19,33
31,57,1,0,11422,46,5,6,0,364,0,9,Tanzania,,0.007061713233036537,0.002491280518186348,0.002027712064886786,20,37
32,64,1,0,11415,53,5,6,0,374,0,9,Tanzania,,0.008136321768498619,0.002491280518186348,0.002027712064886786,18,46
33,69,1,0,11410,58,5,6,0,390,0,11,Tanzania,,0.008903899293828677,0.002491280518186348,0.002027712064886786,18,51
34,74,1,0,11405,62,5,7,0,401,0,12,Tanzania,,0.009517961314092724,0.002491280518186348,0.0023656640757012504,23,51
35,81,1,0,11398,68,5,8,0,413,0,11,Tanzania,,0.010439054344488793,0.002491280518186348,0.0027036160865157146,24,57
36,90,1,0,11389,77,5,8,0,422,0,12,Tanzania,,0.011820693890082898,0.002491280518186348,0.0027036160865157146,27,63
37,105,1,0,11374,89,5,11,0,438,0,13,Tanzania,,0.013662879950875038,0.002491280518186348,0.0037174721189591076,33,72
38,121,2,0,11357,103,5,13,0,446,0,14,Tanzania,,0.015812097021799202,0.002491280518186348,0.004393376140588037,35,86
39,135,2,0,11343,116,6,13,0,455,0,14,Philippines,,0.017807798587657353,0.0029895366218236174,0.004393376140588037,40,95
40,153,2,0,11325,131,8,14,0,460,0,15,Philippines,,0.020110531163647527,0.003986048829098156,0.004731328151402501,45,108
41,166,2,0,11312,141,9,16,0,466,0,15,Philippines,,0.021645686214307645,0.004484304932735426,0.005407232173031429,45,121
42,184,3,0,11293,155,11,18,0,475,0,16,Philippines,,0.02379490328523181,0.005480817140009965,0.006083136194660358,42,142
43,198,5,0,11277,166,13,19,0,485,0,17,Philippines,,0.025483573840957938,0.0064773293472845045,0.006421088205474822,39,159
44,209,6,0,11265,175,12,22,0,493,0,17,Philippines,,0.026865213386552043,0.005979073243647235,0.007434944237918215,38,171
45,217,10,0,11253,182,13,22,0,509,0,17,Philippines,,0.027939821922014125,0.0064773293472845045,0.007434944237918215,35,182
46,233,11,0,11236,197,13,23,0,518,0,17,Philippines,,0.0302425544980043,0.0064773293472845045,0.00777289624873268,33,200
47,251,11,0,11218,212,14,25,0,524,0,19,Philippines,,0.032545287073994476,0.006975585450921774,0.00844880027036161,35,216
48,259,13,0,11208,220,14,25,0,529,0,19,Philippines,,0.03377341111452257,0.006975585450921774,0.00844880027036161,31,228
49,270,15,1,11194,228,16,26,0,541,0,19,Philippines,Philippines,0.03500153515505066,0.007972097658196313,0.008786752281176074,35,235
50,280,16,3,11181,234,17,29,0,557,0,20,Philippines,Philippines,0.03592262818544673,0.008470353761833582,0.009800608313619466,41,239
51,294,19,3,11164,244,20,30,0,563,0,21,Philippines,Philippines,0.037457783236106844,0.009965122072745391,0.01013856032443393,40,254
52,315,20,3,11142,260,21,34,0,569,0,21,Philippines,Philippines,0.039914031317163035,0.01046337817638266,0.011490368367691788,40,275
53,317,27,3,11133,258,22,37,0,578,0,21,Philippines,Philippines,0.03960700030703101,0.01096163428001993,0.012504224400135181,43,274
54,325,31,5,11119,261,22,42,0,585,0,23,Philippines,Philippines,0.040067546822229044,0.01096163428001993,0.014193984454207503,40,285
55,337,36,5,11102,270,24,43,0,595,0,24,Philippines,Philippines,0.04144918636782315,0.01195814648729447,0.014531936465021968,38,299
56,352,38,5,11085,282,24,46,0,603,0,24,Philippines,Philippines,0.04329137242861529,0.01195814648729447,0.01554579249746536,44,308
57,363,45,5,11067,288,27,48,0,615,0,24,Philippines,Philippines,0.04421246545901136,0.013452914798206279,0.01622169651909429,51,312
58,373,49,6,11052,296,28,49,0,620,0,25,Philippines,Philippines,0.045440589499539455,0.013951170901843548,0.016559648529908752,46,327
59,386,54,7,11033,301,33,52,0,630,0,27,Philippines,Philippines,0.04620816702486951,0.016442451420029897,0.017573504562352148,39,347
60,412,57,7,11004,318,38,56,0,643,0,29,Philippines,Philippines,0.04881793061099171,0.018933731938216243,0.018925312605610003,45,367
