"export-plot data (NetLogo 6.4.0)"
"vladviiob.nlogo"
"11/22/2024 19:03:08:449 +0100"

"MODEL SETTINGS"
"compliance-rate","port-travel-chance","initial-infected","virus-cold-resistance","days-until-healthy","infections-threshold","select-infection-country?","isolation-compliance","cold-threshold","virus-heat-resistance","movement-radius","population-scaling","min-recovery-time","heat-threshold","airports-and-ports-enabled?","infection-chance","isolation-enabled?","recovery-time-mean","mortality-rate","recovery-time-sd","airport-travel-chance","num-airports","num-ports"
"1","0.03","1","0.05","365","0.43","true","1","1","0.3","4","0.3","20","13","false","0.25","false","30","0.1","10","0.05","24","17"

"""Daily New Cases"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","73.8","0","10","true","""cases""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""cases""","true","0","1","15","60"

"""cases"""
"x","y","color","pen down?"
"0","3","15","true"
"1","1","15","true"
"2","2","15","true"
"3","2","15","true"
"4","2","15","true"
"5","3","15","true"
"6","3","15","true"
"7","0","15","true"
"8","3","15","true"
"9","2","15","true"
"10","2","15","true"
"11","1","15","true"
"12","3","15","true"
"13","0","15","true"
"14","3","15","true"
"15","4","15","true"
"16","1","15","true"
"17","2","15","true"
"18","1","15","true"
"19","2","15","true"
"20","0","15","true"
"21","2","15","true"
"22","1","15","true"
"23","2","15","true"
"24","2","15","true"
"25","5","15","true"
"26","3","15","true"
"27","5","15","true"
"28","3","15","true"
"29","6","15","true"
"30","3","15","true"
"31","3","15","true"
"32","2","15","true"
"33","3","15","true"
"34","5","15","true"
"35","4","15","true"
"36","4","15","true"
"37","3","15","true"
"38","3","15","true"
"39","2","15","true"
"40","3","15","true"
"41","3","15","true"
"42","4","15","true"
"43","2","15","true"
"44","4","15","true"
"45","3","15","true"
"46","8","15","true"
"47","6","15","true"
"48","6","15","true"
"49","4","15","true"
"50","1","15","true"
"51","2","15","true"
"52","3","15","true"
"53","8","15","true"
"54","1","15","true"
"55","1","15","true"
"56","5","15","true"
"57","1","15","true"
"58","3","15","true"
"59","4","15","true"
"60","5","15","true"
