"export-plot data (NetLogo 6.4.0)"
"vladviiob.nlogo"
"11/22/2024 19:04:46:784 +0100"

"MODEL SETTINGS"
"infection-chance","initial-infected","population-scaling","num-airports","num-ports","mortality-rate","airport-travel-chance","port-travel-chance","movement-radius","recovery-time-mean","recovery-time-sd","min-recovery-time","airports-and-ports-enabled?","select-infection-country?","isolation-enabled?","compliance-rate","heat-threshold","cold-threshold","virus-heat-resistance","virus-cold-resistance","isolation-compliance","infections-threshold","days-until-healthy"
"0.25","1","0.3","24","17","0.1","0.05","0.03","4","30","10","20","false","true","false","1","13","1","0.3","0.05","1","0.43","365"

"""Daily New Cases"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","73.8","0","33","true","""cases""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""cases""","true","0","1","15","60"

"""cases"""
"x","y","color","pen down?"
"0","1","15","true"
"1","1","15","true"
"2","0","15","true"
"3","1","15","true"
"4","1","15","true"
"5","1","15","true"
"6","1","15","true"
"7","0","15","true"
"8","1","15","true"
"9","1","15","true"
"10","0","15","true"
"11","1","15","true"
"12","3","15","true"
"13","5","15","true"
"14","2","15","true"
"15","4","15","true"
"16","4","15","true"
"17","1","15","true"
"18","3","15","true"
"19","3","15","true"
"20","1","15","true"
"21","3","15","true"
"22","3","15","true"
"23","2","15","true"
"24","4","15","true"
"25","2","15","true"
"26","6","15","true"
"27","4","15","true"
"28","5","15","true"
"29","4","15","true"
"30","2","15","true"
"31","5","15","true"
"32","5","15","true"
"33","5","15","true"
"34","8","15","true"
"35","4","15","true"
"36","7","15","true"
"37","6","15","true"
"38","1","15","true"
"39","4","15","true"
"40","6","15","true"
"41","16","15","true"
"42","14","15","true"
"43","12","15","true"
"44","18","15","true"
"45","7","15","true"
"46","15","15","true"
"47","21","15","true"
"48","12","15","true"
"49","10","15","true"
"50","9","15","true"
"51","25","15","true"
"52","30","15","true"
"53","31","15","true"
"54","24","15","true"
"55","15","15","true"
"56","17","15","true"
"57","13","15","true"
"58","14","15","true"
"59","15","15","true"
"60","8","15","true"
