"export-plot data (NetLogo 6.4.0)"
"vladviiob.nlogo"
"11/22/2024 19:07:06:165 +0100"

"MODEL SETTINGS"
"infection-chance","initial-infected","population-scaling","num-airports","num-ports","mortality-rate","airport-travel-chance","port-travel-chance","movement-radius","recovery-time-mean","recovery-time-sd","min-recovery-time","airports-and-ports-enabled?","select-infection-country?","isolation-enabled?","compliance-rate","heat-threshold","cold-threshold","virus-heat-resistance","virus-cold-resistance","isolation-compliance","infections-threshold","days-until-healthy"
"0.25","1","0.3","24","17","0.1","0.05","0.03","4","30","10","20","false","true","false","1","13","1","0.3","0.3","1","0.43","365"

"""Climate Impact"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","364","0","1270","true","""hot""","false","3"

"pen name","pen down?","mode","interval","color","x"
"""hot""","true","0","1","25","300"
"""cold""","true","0","1","5","300"
"""moderate""","true","0","1","55","300"

"""hot""",,,,"""cold""",,,,"""moderate"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","0","25","true","0","0","5","true","0","0","55","true"
"1","0","25","true","1","0","5","true","1","1","55","true"
"2","0","25","true","2","0","5","true","2","2","55","true"
"3","0","25","true","3","0","5","true","3","2","55","true"
"4","0","25","true","4","0","5","true","4","4","55","true"
"5","0","25","true","5","0","5","true","5","6","55","true"
"6","0","25","true","6","0","5","true","6","6","55","true"
"7","0","25","true","7","0","5","true","7","6","55","true"
"8","0","25","true","8","0","5","true","8","6","55","true"
"9","0","25","true","9","0","5","true","9","7","55","true"
"10","0","25","true","10","0","5","true","10","8","55","true"
"11","0","25","true","11","0","5","true","11","9","55","true"
"12","0","25","true","12","0","5","true","12","10","55","true"
"13","0","25","true","13","0","5","true","13","11","55","true"
"14","0","25","true","14","0","5","true","14","14","55","true"
"15","0","25","true","15","0","5","true","15","16","55","true"
"16","0","25","true","16","0","5","true","16","19","55","true"
"17","0","25","true","17","0","5","true","17","21","55","true"
"18","0","25","true","18","0","5","true","18","24","55","true"
"19","0","25","true","19","0","5","true","19","27","55","true"
"20","0","25","true","20","0","5","true","20","27","55","true"
"21","0","25","true","21","0","5","true","21","30","55","true"
"22","0","25","true","22","0","5","true","22","35","55","true"
"23","0","25","true","23","0","5","true","23","39","55","true"
"24","0","25","true","24","0","5","true","24","42","55","true"
"25","0","25","true","25","0","5","true","25","42","55","true"
"26","0","25","true","26","0","5","true","26","44","55","true"
"27","0","25","true","27","0","5","true","27","45","55","true"
"28","0","25","true","28","0","5","true","28","48","55","true"
"29","0","25","true","29","0","5","true","29","49","55","true"
"30","0","25","true","30","0","5","true","30","51","55","true"
"31","0","25","true","31","1","5","true","31","55","55","true"
"32","0","25","true","32","1","5","true","32","58","55","true"
"33","0","25","true","33","1","5","true","33","63","55","true"
"34","0","25","true","34","1","5","true","34","66","55","true"
"35","0","25","true","35","2","5","true","35","72","55","true"
"36","0","25","true","36","2","5","true","36","74","55","true"
"37","0","25","true","37","2","5","true","37","77","55","true"
"38","1","25","true","38","2","5","true","38","79","55","true"
"39","1","25","true","39","2","5","true","39","80","55","true"
"40","2","25","true","40","3","5","true","40","85","55","true"
"41","2","25","true","41","5","5","true","41","86","55","true"
"42","2","25","true","42","8","5","true","42","91","55","true"
"43","3","25","true","43","9","5","true","43","93","55","true"
"44","4","25","true","44","9","5","true","44","97","55","true"
"45","4","25","true","45","13","5","true","45","97","55","true"
"46","4","25","true","46","13","5","true","46","101","55","true"
"47","4","25","true","47","15","5","true","47","101","55","true"
"48","4","25","true","48","18","5","true","48","103","55","true"
"49","4","25","true","49","21","5","true","49","108","55","true"
"50","4","25","true","50","24","5","true","50","111","55","true"
"51","5","25","true","51","29","5","true","51","115","55","true"
"52","5","25","true","52","32","5","true","52","113","55","true"
"53","5","25","true","53","34","5","true","53","113","55","true"
"54","5","25","true","54","37","5","true","54","120","55","true"
"55","5","25","true","55","40","5","true","55","124","55","true"
"56","6","25","true","56","40","5","true","56","126","55","true"
"57","5","25","true","57","43","5","true","57","125","55","true"
"58","5","25","true","58","48","5","true","58","128","55","true"
"59","5","25","true","59","51","5","true","59","129","55","true"
