"export-plot data (NetLogo 6.4.0)"
"vladviiob.nlogo"
"11/22/2024 18:55:20:055 +0100"

"MODEL SETTINGS"
"compliance-rate","port-travel-chance","initial-infected","virus-cold-resistance","days-until-healthy","infections-threshold","select-infection-country?","isolation-compliance","cold-threshold","virus-heat-resistance","movement-radius","population-scaling","min-recovery-time","heat-threshold","airports-and-ports-enabled?","infection-chance","isolation-enabled?","recovery-time-mean","mortality-rate","recovery-time-sd","airport-travel-chance","num-airports","num-ports"
"1","0.03","1","0.05","365","0.43","true","1","1","0.05","4","0.3","20","13","false","0.25","false","30","0.1","10","0.05","24","17"

"""Daily New Cases"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","73.8","0","19.8","true","""cases""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""cases""","true","0","1","15","60"

"""cases"""
"x","y","color","pen down?"
"0","3","15","true"
"1","4","15","true"
"2","3","15","true"
"3","1","15","true"
"4","0","15","true"
"5","0","15","true"
"6","2","15","true"
"7","2","15","true"
"8","4","15","true"
"9","4","15","true"
"10","3","15","true"
"11","3","15","true"
"12","4","15","true"
"13","8","15","true"
"14","7","15","true"
"15","7","15","true"
"16","5","15","true"
"17","7","15","true"
"18","1","15","true"
"19","3","15","true"
"20","1","15","true"
"21","4","15","true"
"22","3","15","true"
"23","2","15","true"
"24","5","15","true"
"25","4","15","true"
"26","5","15","true"
"27","1","15","true"
"28","2","15","true"
"29","2","15","true"
"30","3","15","true"
"31","6","15","true"
"32","11","15","true"
"33","10","15","true"
"34","8","15","true"
"35","16","15","true"
"36","5","15","true"
"37","8","15","true"
"38","4","15","true"
"39","5","15","true"
"40","7","15","true"
"41","5","15","true"
"42","7","15","true"
"43","4","15","true"
"44","3","15","true"
"45","9","15","true"
"46","5","15","true"
"47","7","15","true"
"48","11","15","true"
"49","11","15","true"
"50","14","15","true"
"51","7","15","true"
"52","11","15","true"
"53","16","15","true"
"54","14","15","true"
"55","18","15","true"
"56","18","15","true"
"57","19","15","true"
"58","14","15","true"
"59","10","15","true"
"60","19","15","true"
