"export-plot data (NetLogo 6.4.0)"
"vladviiob.nlogo"
"11/22/2024 19:10:04:035 +0100"

"MODEL SETTINGS"
"infection-chance","initial-infected","population-scaling","num-airports","num-ports","mortality-rate","airport-travel-chance","port-travel-chance","movement-radius","recovery-time-mean","recovery-time-sd","min-recovery-time","airports-and-ports-enabled?","select-infection-country?","isolation-enabled?","compliance-rate","heat-threshold","cold-threshold","virus-heat-resistance","virus-cold-resistance","isolation-compliance","infections-threshold","days-until-healthy"
"0.25","1","0.3","24","17","0.1","0.05","0.03","4","30","10","20","false","true","false","1","13","1","0.3","0.9","1","0.43","365"

"""Daily New Cases"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","290","0","139","true","""cases""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""cases""","true","0","1","15","270"

"""cases"""
"x","y","color","pen down?"
"0","2","15","true"
"1","3","15","true"
"2","2","15","true"
"3","4","15","true"
"4","0","15","true"
"5","2","15","true"
"6","3","15","true"
"7","4","15","true"
"8","6","15","true"
"9","6","15","true"
"10","10","15","true"
"11","6","15","true"
"12","8","15","true"
"13","6","15","true"
"14","5","15","true"
"15","5","15","true"
"16","3","15","true"
"17","6","15","true"
"18","6","15","true"
"19","8","15","true"
"20","10","15","true"
"21","12","15","true"
"22","10","15","true"
"23","14","15","true"
"24","17","15","true"
"25","23","15","true"
"26","26","15","true"
"27","17","15","true"
"28","22","15","true"
"29","26","15","true"
"30","29","15","true"
"31","20","15","true"
"32","11","15","true"
"33","10","15","true"
"34","13","15","true"
"35","15","15","true"
"36","13","15","true"
"37","10","15","true"
"38","11","15","true"
"39","4","15","true"
"40","9","15","true"
"41","13","15","true"
"42","22","15","true"
"43","10","15","true"
"44","10","15","true"
"45","8","15","true"
"46","7","15","true"
"47","7","15","true"
"48","6","15","true"
"49","10","15","true"
"50","9","15","true"
"51","10","15","true"
"52","9","15","true"
"53","5","15","true"
"54","10","15","true"
"55","4","15","true"
"56","6","15","true"
"57","4","15","true"
"58","8","15","true"
"59","6","15","true"
"60","5","15","true"
"61","4","15","true"
"62","4","15","true"
"63","5","15","true"
"64","5","15","true"
"65","5","15","true"
"66","6","15","true"
"67","5","15","true"
"68","5","15","true"
"69","10","15","true"
"70","8","15","true"
"71","8","15","true"
"72","10","15","true"
"73","2","15","true"
"74","7","15","true"
"75","9","15","true"
"76","7","15","true"
"77","6","15","true"
"78","6","15","true"
"79","11","15","true"
"80","9","15","true"
"81","20","15","true"
"82","59","15","true"
"83","13","15","true"
"84","14","15","true"
"85","15","15","true"
"86","11","15","true"
"87","8","15","true"
"88","10","15","true"
"89","14","15","true"
"90","11","15","true"
"91","8","15","true"
"92","9","15","true"
"93","9","15","true"
"94","8","15","true"
"95","4","15","true"
"96","9","15","true"
"97","2","15","true"
"98","2","15","true"
"99","6","15","true"
"100","5","15","true"
"101","4","15","true"
"102","4","15","true"
"103","9","15","true"
"104","4","15","true"
"105","3","15","true"
"106","7","15","true"
"107","4","15","true"
"108","11","15","true"
"109","6","15","true"
"110","10","15","true"
"111","7","15","true"
"112","5","15","true"
"113","12","15","true"
"114","6","15","true"
"115","7","15","true"
"116","7","15","true"
"117","3","15","true"
"118","4","15","true"
"119","6","15","true"
"120","3","15","true"
"121","4","15","true"
"122","6","15","true"
"123","6","15","true"
"124","5","15","true"
"125","7","15","true"
"126","5","15","true"
"127","6","15","true"
"128","9","15","true"
"129","8","15","true"
"130","11","15","true"
"131","12","15","true"
"132","11","15","true"
"133","11","15","true"
"134","11","15","true"
"135","8","15","true"
"136","8","15","true"
"137","6","15","true"
"138","5","15","true"
"139","6","15","true"
"140","3","15","true"
"141","4","15","true"
"142","5","15","true"
"143","7","15","true"
"144","9","15","true"
"145","6","15","true"
"146","6","15","true"
"147","7","15","true"
"148","6","15","true"
"149","4","15","true"
"150","4","15","true"
"151","5","15","true"
"152","10","15","true"
"153","6","15","true"
"154","5","15","true"
"155","6","15","true"
"156","4","15","true"
"157","8","15","true"
"158","9","15","true"
"159","7","15","true"
"160","2","15","true"
"161","6","15","true"
"162","4","15","true"
"163","8","15","true"
"164","5","15","true"
"165","4","15","true"
"166","5","15","true"
"167","7","15","true"
"168","2","15","true"
"169","5","15","true"
"170","0","15","true"
"171","5","15","true"
"172","4","15","true"
"173","7","15","true"
"174","1","15","true"
"175","3","15","true"
"176","3","15","true"
"177","4","15","true"
"178","1","15","true"
"179","3","15","true"
"180","4","15","true"
"181","3","15","true"
"182","5","15","true"
"183","7","15","true"
"184","5","15","true"
"185","2","15","true"
"186","1","15","true"
"187","4","15","true"
"188","2","15","true"
"189","3","15","true"
"190","5","15","true"
"191","7","15","true"
"192","4","15","true"
"193","1","15","true"
"194","1","15","true"
"195","2","15","true"
"196","4","15","true"
"197","3","15","true"
"198","6","15","true"
"199","1","15","true"
"200","6","15","true"
"201","3","15","true"
"202","2","15","true"
"203","2","15","true"
"204","0","15","true"
"205","7","15","true"
"206","6","15","true"
"207","4","15","true"
"208","7","15","true"
"209","7","15","true"
"210","2","15","true"
"211","7","15","true"
"212","2","15","true"
"213","0","15","true"
"214","3","15","true"
"215","5","15","true"
"216","8","15","true"
"217","3","15","true"
"218","0","15","true"
"219","3","15","true"
"220","1","15","true"
"221","5","15","true"
"222","3","15","true"
"223","5","15","true"
"224","6","15","true"
"225","14","15","true"
"226","12","15","true"
"227","9","15","true"
"228","14","15","true"
"229","14","15","true"
"230","9","15","true"
"231","16","15","true"
"232","19","15","true"
"233","19","15","true"
"234","20","15","true"
"235","17","15","true"
"236","33","15","true"
"237","34","15","true"
"238","37","15","true"
"239","48","15","true"
"240","52","15","true"
"241","55","15","true"
"242","67","15","true"
"243","82","15","true"
"244","75","15","true"
"245","87","15","true"
"246","94","15","true"
"247","80","15","true"
"248","75","15","true"
"249","70","15","true"
"250","82","15","true"
"251","73","15","true"
"252","106","15","true"
"253","96","15","true"
"254","73","15","true"
"255","83","15","true"
"256","96","15","true"
"257","99","15","true"
"258","90","15","true"
"259","97","15","true"
"260","100","15","true"
"261","110","15","true"
"262","83","15","true"
"263","87","15","true"
"264","95","15","true"
"265","83","15","true"
"266","83","15","true"
"267","70","15","true"
"268","99","15","true"
"269","102","15","true"
"270","126","15","true"
