"export-plot data (NetLogo 6.4.0)"
"vladviiob.nlogo"
"11/22/2024 19:12:16:515 +0100"

"MODEL SETTINGS"
"compliance-rate","port-travel-chance","initial-infected","virus-cold-resistance","days-until-healthy","infections-threshold","select-infection-country?","isolation-compliance","cold-threshold","virus-heat-resistance","movement-radius","population-scaling","min-recovery-time","heat-threshold","airports-and-ports-enabled?","infection-chance","isolation-enabled?","recovery-time-mean","mortality-rate","recovery-time-sd","airport-travel-chance","num-airports","num-ports"
"1","0.03","1","0.05","365","0.43","true","1","1","0.6","4","0.3","20","13","false","0.25","false","30","0.1","10","0.05","24","17"

"""Daily New Cases"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","290","0","29.7","true","""cases""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""cases""","true","0","1","15","270"

"""cases"""
"x","y","color","pen down?"
"0","2","15","true"
"1","0","15","true"
"2","1","15","true"
"3","1","15","true"
"4","0","15","true"
"5","0","15","true"
"6","0","15","true"
"7","2","15","true"
"8","0","15","true"
"9","0","15","true"
"10","0","15","true"
"11","1","15","true"
"12","1","15","true"
"13","3","15","true"
"14","1","15","true"
"15","2","15","true"
"16","3","15","true"
"17","3","15","true"
"18","2","15","true"
"19","1","15","true"
"20","2","15","true"
"21","2","15","true"
"22","3","15","true"
"23","0","15","true"
"24","0","15","true"
"25","1","15","true"
"26","1","15","true"
"27","2","15","true"
"28","4","15","true"
"29","1","15","true"
"30","5","15","true"
"31","5","15","true"
"32","5","15","true"
"33","3","15","true"
"34","3","15","true"
"35","3","15","true"
"36","5","15","true"
"37","4","15","true"
"38","5","15","true"
"39","8","15","true"
"40","3","15","true"
"41","2","15","true"
"42","1","15","true"
"43","1","15","true"
"44","1","15","true"
"45","4","15","true"
"46","3","15","true"
"47","3","15","true"
"48","5","15","true"
"49","5","15","true"
"50","5","15","true"
"51","0","15","true"
"52","4","15","true"
"53","2","15","true"
"54","5","15","true"
"55","2","15","true"
"56","1","15","true"
"57","4","15","true"
"58","3","15","true"
"59","5","15","true"
"60","3","15","true"
"61","10","15","true"
"62","10","15","true"
"63","10","15","true"
"64","9","15","true"
"65","4","15","true"
"66","7","15","true"
"67","7","15","true"
"68","6","15","true"
"69","6","15","true"
"70","4","15","true"
"71","7","15","true"
"72","11","15","true"
"73","15","15","true"
"74","15","15","true"
"75","17","15","true"
"76","16","15","true"
"77","18","15","true"
"78","19","15","true"
"79","27","15","true"
"80","18","15","true"
"81","13","15","true"
"82","12","15","true"
"83","9","15","true"
"84","9","15","true"
"85","13","15","true"
"86","18","15","true"
"87","23","15","true"
"88","12","15","true"
"89","9","15","true"
"90","8","15","true"
"91","4","15","true"
"92","3","15","true"
"93","3","15","true"
"94","5","15","true"
"95","6","15","true"
"96","2","15","true"
"97","3","15","true"
"98","3","15","true"
"99","6","15","true"
"100","3","15","true"
"101","1","15","true"
"102","5","15","true"
"103","5","15","true"
"104","5","15","true"
"105","5","15","true"
"106","4","15","true"
"107","2","15","true"
"108","7","15","true"
"109","4","15","true"
"110","8","15","true"
"111","5","15","true"
"112","7","15","true"
"113","6","15","true"
"114","7","15","true"
"115","6","15","true"
"116","5","15","true"
"117","7","15","true"
"118","0","15","true"
"119","2","15","true"
"120","1","15","true"
"121","0","15","true"
"122","4","15","true"
"123","4","15","true"
"124","0","15","true"
"125","1","15","true"
"126","4","15","true"
"127","3","15","true"
"128","4","15","true"
"129","2","15","true"
"130","3","15","true"
"131","1","15","true"
"132","2","15","true"
"133","2","15","true"
"134","2","15","true"
"135","1","15","true"
"136","3","15","true"
"137","5","15","true"
"138","3","15","true"
"139","4","15","true"
"140","3","15","true"
"141","2","15","true"
"142","3","15","true"
"143","3","15","true"
"144","4","15","true"
"145","2","15","true"
"146","11","15","true"
"147","3","15","true"
"148","1","15","true"
"149","6","15","true"
"150","0","15","true"
"151","4","15","true"
"152","6","15","true"
"153","4","15","true"
"154","5","15","true"
"155","3","15","true"
"156","3","15","true"
"157","6","15","true"
"158","4","15","true"
"159","3","15","true"
"160","1","15","true"
"161","6","15","true"
"162","5","15","true"
"163","4","15","true"
"164","3","15","true"
"165","4","15","true"
"166","4","15","true"
"167","1","15","true"
"168","7","15","true"
"169","6","15","true"
"170","5","15","true"
"171","4","15","true"
"172","2","15","true"
"173","0","15","true"
"174","2","15","true"
"175","3","15","true"
"176","2","15","true"
"177","2","15","true"
"178","3","15","true"
"179","1","15","true"
"180","3","15","true"
"181","3","15","true"
"182","1","15","true"
"183","4","15","true"
"184","1","15","true"
"185","0","15","true"
"186","3","15","true"
"187","2","15","true"
"188","1","15","true"
"189","2","15","true"
"190","1","15","true"
"191","0","15","true"
"192","4","15","true"
"193","0","15","true"
"194","1","15","true"
"195","0","15","true"
"196","1","15","true"
"197","2","15","true"
"198","2","15","true"
"199","0","15","true"
"200","0","15","true"
"201","0","15","true"
"202","1","15","true"
"203","0","15","true"
"204","3","15","true"
"205","1","15","true"
"206","2","15","true"
"207","2","15","true"
"208","0","15","true"
"209","0","15","true"
"210","1","15","true"
"211","0","15","true"
"212","1","15","true"
"213","0","15","true"
"214","1","15","true"
"215","2","15","true"
"216","2","15","true"
"217","1","15","true"
"218","0","15","true"
"219","1","15","true"
"220","0","15","true"
"221","0","15","true"
"222","0","15","true"
"223","0","15","true"
"224","1","15","true"
"225","1","15","true"
"226","3","15","true"
"227","1","15","true"
"228","3","15","true"
"229","0","15","true"
"230","0","15","true"
"231","0","15","true"
"232","7","15","true"
"233","1","15","true"
"234","1","15","true"
"235","1","15","true"
"236","0","15","true"
"237","2","15","true"
"238","1","15","true"
"239","2","15","true"
"240","4","15","true"
"241","2","15","true"
"242","0","15","true"
"243","1","15","true"
"244","0","15","true"
"245","1","15","true"
"246","2","15","true"
"247","1","15","true"
"248","1","15","true"
"249","2","15","true"
"250","0","15","true"
"251","1","15","true"
"252","0","15","true"
"253","0","15","true"
"254","1","15","true"
"255","0","15","true"
"256","0","15","true"
"257","0","15","true"
"258","0","15","true"
"259","0","15","true"
"260","0","15","true"
"261","2","15","true"
"262","1","15","true"
"263","0","15","true"
"264","0","15","true"
"265","0","15","true"
"266","1","15","true"
"267","2","15","true"
"268","1","15","true"
"269","2","15","true"
"270","0","15","true"
