"export-plot data (NetLogo 6.4.0)"
"vladviiob.nlogo"
"11/22/2024 19:13:59:231 +0100"

"MODEL SETTINGS"
"infection-chance","initial-infected","population-scaling","num-airports","num-ports","mortality-rate","airport-travel-chance","port-travel-chance","movement-radius","recovery-time-mean","recovery-time-sd","min-recovery-time","airports-and-ports-enabled?","select-infection-country?","isolation-enabled?","compliance-rate","heat-threshold","cold-threshold","virus-heat-resistance","virus-cold-resistance","isolation-compliance","infections-threshold","days-until-healthy"
"0.25","1","0.3","24","17","0.1","0.05","0.03","4","30","10","20","false","true","false","1","13","1","0.6","0.3","1","0.43","365"

"""Daily New Cases"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","184","0","28.6","true","""cases""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""cases""","true","0","1","15","180"

"""cases"""
"x","y","color","pen down?"
"0","1","15","true"
"1","0","15","true"
"2","0","15","true"
"3","0","15","true"
"4","1","15","true"
"5","0","15","true"
"6","0","15","true"
"7","0","15","true"
"8","0","15","true"
"9","0","15","true"
"10","0","15","true"
"11","1","15","true"
"12","0","15","true"
"13","0","15","true"
"14","0","15","true"
"15","1","15","true"
"16","2","15","true"
"17","2","15","true"
"18","1","15","true"
"19","1","15","true"
"20","1","15","true"
"21","2","15","true"
"22","2","15","true"
"23","1","15","true"
"24","2","15","true"
"25","0","15","true"
"26","2","15","true"
"27","4","15","true"
"28","1","15","true"
"29","3","15","true"
"30","3","15","true"
"31","5","15","true"
"32","1","15","true"
"33","3","15","true"
"34","5","15","true"
"35","4","15","true"
"36","2","15","true"
"37","5","15","true"
"38","3","15","true"
"39","9","15","true"
"40","3","15","true"
"41","2","15","true"
"42","3","15","true"
"43","5","15","true"
"44","2","15","true"
"45","4","15","true"
"46","3","15","true"
"47","4","15","true"
"48","7","15","true"
"49","7","15","true"
"50","1","15","true"
"51","3","15","true"
"52","5","15","true"
"53","1","15","true"
"54","7","15","true"
"55","3","15","true"
"56","5","15","true"
"57","5","15","true"
"58","10","15","true"
"59","5","15","true"
"60","4","15","true"
"61","5","15","true"
"62","5","15","true"
"63","6","15","true"
"64","4","15","true"
"65","8","15","true"
"66","16","15","true"
"67","5","15","true"
"68","10","15","true"
"69","12","15","true"
"70","8","15","true"
"71","7","15","true"
"72","10","15","true"
"73","18","15","true"
"74","6","15","true"
"75","6","15","true"
"76","6","15","true"
"77","4","15","true"
"78","9","15","true"
"79","2","15","true"
"80","10","15","true"
"81","10","15","true"
"82","15","15","true"
"83","12","15","true"
"84","19","15","true"
"85","19","15","true"
"86","9","15","true"
"87","19","15","true"
"88","15","15","true"
"89","26","15","true"
"90","26","15","true"
"91","14","15","true"
"92","20","15","true"
"93","18","15","true"
"94","16","15","true"
"95","19","15","true"
"96","15","15","true"
"97","14","15","true"
"98","19","15","true"
"99","11","15","true"
"100","20","15","true"
"101","11","15","true"
"102","14","15","true"
"103","7","15","true"
"104","9","15","true"
"105","10","15","true"
"106","12","15","true"
"107","16","15","true"
"108","16","15","true"
"109","17","15","true"
"110","13","15","true"
"111","10","15","true"
"112","12","15","true"
"113","11","15","true"
"114","9","15","true"
"115","8","15","true"
"116","11","15","true"
"117","9","15","true"
"118","9","15","true"
"119","16","15","true"
"120","16","15","true"
"121","11","15","true"
"122","13","15","true"
"123","10","15","true"
"124","13","15","true"
"125","12","15","true"
"126","14","15","true"
"127","11","15","true"
"128","10","15","true"
"129","11","15","true"
"130","11","15","true"
"131","9","15","true"
"132","9","15","true"
"133","5","15","true"
"134","10","15","true"
"135","7","15","true"
"136","11","15","true"
"137","6","15","true"
"138","10","15","true"
"139","4","15","true"
"140","11","15","true"
"141","18","15","true"
"142","10","15","true"
"143","15","15","true"
"144","8","15","true"
"145","12","15","true"
"146","15","15","true"
"147","14","15","true"
"148","23","15","true"
"149","11","15","true"
"150","15","15","true"
"151","18","15","true"
"152","12","15","true"
"153","9","15","true"
"154","7","15","true"
"155","12","15","true"
"156","7","15","true"
"157","7","15","true"
"158","7","15","true"
"159","7","15","true"
"160","2","15","true"
"161","4","15","true"
"162","2","15","true"
"163","3","15","true"
"164","0","15","true"
"165","4","15","true"
"166","5","15","true"
"167","5","15","true"
"168","3","15","true"
"169","5","15","true"
"170","3","15","true"
"171","8","15","true"
"172","6","15","true"
"173","8","15","true"
"174","9","15","true"
"175","6","15","true"
"176","10","15","true"
"177","5","15","true"
"178","6","15","true"
"179","8","15","true"
"180","8","15","true"
