"export-plot data (NetLogo 6.4.0)"
"vladviiob.nlogo"
"11/22/2024 19:15:01:486 +0100"

"MODEL SETTINGS"
"infection-chance","initial-infected","population-scaling","num-airports","num-ports","mortality-rate","airport-travel-chance","port-travel-chance","movement-radius","recovery-time-mean","recovery-time-sd","min-recovery-time","airports-and-ports-enabled?","select-infection-country?","isolation-enabled?","compliance-rate","heat-threshold","cold-threshold","virus-heat-resistance","virus-cold-resistance","isolation-compliance","infections-threshold","days-until-healthy"
"0.25","1","0.3","24","17","0.1","0.05","0.03","4","30","10","20","false","true","false","1","13","1","0.6","0.6","1","0.43","365"

"""Daily New Cases"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","73.8","0","27.5","true","""cases""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""cases""","true","0","1","15","60"

"""cases"""
"x","y","color","pen down?"
"0","2","15","true"
"1","0","15","true"
"2","1","15","true"
"3","2","15","true"
"4","1","15","true"
"5","2","15","true"
"6","4","15","true"
"7","3","15","true"
"8","6","15","true"
"9","5","15","true"
"10","1","15","true"
"11","7","15","true"
"12","6","15","true"
"13","5","15","true"
"14","10","15","true"
"15","14","15","true"
"16","9","15","true"
"17","7","15","true"
"18","12","15","true"
"19","10","15","true"
"20","5","15","true"
"21","1","15","true"
"22","9","15","true"
"23","10","15","true"
"24","14","15","true"
"25","6","15","true"
"26","12","15","true"
"27","11","15","true"
"28","13","15","true"
"29","14","15","true"
"30","25","15","true"
"31","25","15","true"
"32","20","15","true"
"33","23","15","true"
"34","23","15","true"
"35","22","15","true"
"36","16","15","true"
"37","20","15","true"
"38","18","15","true"
"39","18","15","true"
"40","20","15","true"
"41","19","15","true"
"42","27","15","true"
"43","21","15","true"
"44","15","15","true"
"45","11","15","true"
"46","11","15","true"
"47","10","15","true"
"48","6","15","true"
"49","7","15","true"
"50","6","15","true"
"51","7","15","true"
"52","8","15","true"
"53","7","15","true"
"54","11","15","true"
"55","10","15","true"
"56","12","15","true"
"57","11","15","true"
"58","11","15","true"
"59","12","15","true"
"60","10","15","true"
