"export-plot data (NetLogo 6.4.0)"
"vladviiob.nlogo"
"11/22/2024 19:16:05:957 +0100"

"MODEL SETTINGS"
"compliance-rate","port-travel-chance","initial-infected","virus-cold-resistance","days-until-healthy","infections-threshold","select-infection-country?","isolation-compliance","cold-threshold","virus-heat-resistance","movement-radius","population-scaling","min-recovery-time","heat-threshold","airports-and-ports-enabled?","infection-chance","isolation-enabled?","recovery-time-mean","mortality-rate","recovery-time-sd","airport-travel-chance","num-airports","num-ports"
"1","0.03","1","0.6","365","0.43","true","1","1","0.6","4","0.3","20","13","false","0.25","false","30","0.1","10","0.05","24","17"

"""Disease Progression"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","364","0","12600","true","""recovered""","true","4"

"pen name","pen down?","mode","interval","color","x"
"""recovered""","true","0","1","5","360"
"""infected""","true","0","1","15","360"
"""dead""","true","0","1","0","360"
"""healthy""","true","0","1","45","360"

"""recovered""",,,,"""infected""",,,,"""dead""",,,,"""healthy"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","0","5","true","0","0","15","true","0","0","0","true","0","0","45","true"
"1","0","5","true","1","5","15","true","1","0","0","true","1","11494","45","true"
"2","0","5","true","2","8","15","true","2","0","0","true","2","11491","45","true"
"3","0","5","true","3","11","15","true","3","0","0","true","3","11488","45","true"
"4","0","5","true","4","13","15","true","4","0","0","true","4","11486","45","true"
"5","0","5","true","5","13","15","true","5","0","0","true","5","11486","45","true"
"6","0","5","true","6","14","15","true","6","0","0","true","6","11485","45","true"
"7","0","5","true","7","14","15","true","7","0","0","true","7","11485","45","true"
"8","0","5","true","8","16","15","true","8","0","0","true","8","11483","45","true"
"9","0","5","true","9","18","15","true","9","0","0","true","9","11481","45","true"
"10","0","5","true","10","22","15","true","10","0","0","true","10","11477","45","true"
"11","0","5","true","11","26","15","true","11","0","0","true","11","11473","45","true"
"12","0","5","true","12","32","15","true","12","0","0","true","12","11467","45","true"
"13","0","5","true","13","34","15","true","13","0","0","true","13","11465","45","true"
"14","0","5","true","14","36","15","true","14","0","0","true","14","11463","45","true"
"15","0","5","true","15","41","15","true","15","0","0","true","15","11458","45","true"
"16","0","5","true","16","46","15","true","16","0","0","true","16","11453","45","true"
"17","0","5","true","17","54","15","true","17","0","0","true","17","11445","45","true"
"18","0","5","true","18","61","15","true","18","0","0","true","18","11438","45","true"
"19","0","5","true","19","65","15","true","19","0","0","true","19","11434","45","true"
"20","1","5","true","20","72","15","true","20","1","0","true","20","11425","45","true"
"21","3","5","true","21","74","15","true","21","1","0","true","21","11421","45","true"
"22","3","5","true","22","76","15","true","22","1","0","true","22","11419","45","true"
"23","4","5","true","23","80","15","true","23","1","0","true","23","11414","45","true"
"24","4","5","true","24","84","15","true","24","1","0","true","24","11410","45","true"
"25","4","5","true","25","88","15","true","25","1","0","true","25","11406","45","true"
"26","5","5","true","26","96","15","true","26","1","0","true","26","11397","45","true"
"27","5","5","true","27","106","15","true","27","1","0","true","27","11387","45","true"
"28","6","5","true","28","111","15","true","28","1","0","true","28","11381","45","true"
"29","6","5","true","29","117","15","true","29","1","0","true","29","11375","45","true"
"30","7","5","true","30","121","15","true","30","1","0","true","30","11370","45","true"
"31","7","5","true","31","132","15","true","31","2","0","true","31","11358","45","true"
"32","8","5","true","32","147","15","true","32","2","0","true","32","11342","45","true"
"33","9","5","true","33","157","15","true","33","2","0","true","33","11331","45","true"
"34","9","5","true","34","165","15","true","34","2","0","true","34","11323","45","true"
"35","10","5","true","35","172","15","true","35","3","0","true","35","11314","45","true"
"36","10","5","true","36","182","15","true","36","3","0","true","36","11304","45","true"
"37","12","5","true","37","191","15","true","37","4","0","true","37","11292","45","true"
"38","14","5","true","38","191","15","true","38","4","0","true","38","11290","45","true"
"39","21","5","true","39","191","15","true","39","4","0","true","39","11283","45","true"
"40","21","5","true","40","200","15","true","40","4","0","true","40","11274","45","true"
"41","22","5","true","41","214","15","true","41","4","0","true","41","11259","45","true"
"42","27","5","true","42","221","15","true","42","4","0","true","42","11247","45","true"
"43","31","5","true","43","229","15","true","43","5","0","true","43","11234","45","true"
"44","31","5","true","44","245","15","true","44","5","0","true","44","11218","45","true"
"45","34","5","true","45","256","15","true","45","5","0","true","45","11204","45","true"
"46","39","5","true","46","270","15","true","46","5","0","true","46","11185","45","true"
"47","45","5","true","47","283","15","true","47","5","0","true","47","11166","45","true"
"48","53","5","true","48","293","15","true","48","5","0","true","48","11148","45","true"
"49","56","5","true","49","302","15","true","49","6","0","true","49","11135","45","true"
"50","63","5","true","50","306","15","true","50","8","0","true","50","11122","45","true"
"51","70","5","true","51","311","15","true","51","8","0","true","51","11110","45","true"
"52","76","5","true","52","316","15","true","52","10","0","true","52","11097","45","true"
"53","79","5","true","53","324","15","true","53","10","0","true","53","11086","45","true"
"54","88","5","true","54","323","15","true","54","11","0","true","54","11077","45","true"
"55","93","5","true","55","333","15","true","55","11","0","true","55","11062","45","true"
"56","98","5","true","56","339","15","true","56","12","0","true","56","11050","45","true"
"57","102","5","true","57","356","15","true","57","12","0","true","57","11029","45","true"
"58","108","5","true","58","359","15","true","58","12","0","true","58","11020","45","true"
"59","116","5","true","59","365","15","true","59","12","0","true","59","11006","45","true"
"60","119","5","true","60","372","15","true","60","12","0","true","60","10996","45","true"
"61","129","5","true","61","375","15","true","61","14","0","true","61","10981","45","true"
"62","138","5","true","62","375","15","true","62","15","0","true","62","10971","45","true"
"63","142","5","true","63","389","15","true","63","19","0","true","63","10949","45","true"
"64","152","5","true","64","388","15","true","64","20","0","true","64","10939","45","true"
"65","159","5","true","65","391","15","true","65","21","0","true","65","10928","45","true"
"66","171","5","true","66","392","15","true","66","23","0","true","66","10913","45","true"
"67","180","5","true","67","396","15","true","67","24","0","true","67","10899","45","true"
"68","190","5","true","68","387","15","true","68","26","0","true","68","10896","45","true"
"69","201","5","true","69","379","15","true","69","28","0","true","69","10891","45","true"
"70","208","5","true","70","380","15","true","70","28","0","true","70","10883","45","true"
"71","221","5","true","71","371","15","true","71","28","0","true","71","10879","45","true"
"72","227","5","true","72","370","15","true","72","29","0","true","72","10873","45","true"
"73","235","5","true","73","368","15","true","73","30","0","true","73","10866","45","true"
"74","247","5","true","74","362","15","true","74","30","0","true","74","10860","45","true"
"75","268","5","true","75","350","15","true","75","30","0","true","75","10851","45","true"
"76","284","5","true","76","340","15","true","76","32","0","true","76","10843","45","true"
"77","298","5","true","77","336","15","true","77","33","0","true","77","10832","45","true"
"78","307","5","true","78","335","15","true","78","33","0","true","78","10824","45","true"
"79","328","5","true","79","321","15","true","79","35","0","true","79","10815","45","true"
"80","340","5","true","80","316","15","true","80","35","0","true","80","10808","45","true"
"81","347","5","true","81","316","15","true","81","37","0","true","81","10799","45","true"
"82","354","5","true","82","315","15","true","82","41","0","true","82","10789","45","true"
"83","361","5","true","83","317","15","true","83","42","0","true","83","10779","45","true"
"84","376","5","true","84","316","15","true","84","43","0","true","84","10764","45","true"
"85","387","5","true","85","320","15","true","85","45","0","true","85","10747","45","true"
"86","405","5","true","86","322","15","true","86","47","0","true","86","10725","45","true"
"87","416","5","true","87","361","15","true","87","47","0","true","87","10675","45","true"
"88","431","5","true","88","388","15","true","88","49","0","true","88","10631","45","true"
"89","443","5","true","89","386","15","true","89","50","0","true","89","10620","45","true"
"90","451","5","true","90","390","15","true","90","50","0","true","90","10608","45","true"
"91","463","5","true","91","380","15","true","91","51","0","true","91","10605","45","true"
"92","470","5","true","92","387","15","true","92","51","0","true","92","10591","45","true"
"93","482","5","true","93","383","15","true","93","53","0","true","93","10581","45","true"
"94","494","5","true","94","380","15","true","94","53","0","true","94","10572","45","true"
"95","504","5","true","95","373","15","true","95","56","0","true","95","10566","45","true"
"96","516","5","true","96","368","15","true","96","57","0","true","96","10558","45","true"
"97","524","5","true","97","373","15","true","97","58","0","true","97","10544","45","true"
"98","529","5","true","98","383","15","true","98","58","0","true","98","10529","45","true"
"99","537","5","true","99","387","15","true","99","58","0","true","99","10517","45","true"
"100","550","5","true","100","383","15","true","100","60","0","true","100","10506","45","true"
"101","555","5","true","101","388","15","true","101","62","0","true","101","10494","45","true"
"102","562","5","true","102","393","15","true","102","64","0","true","102","10480","45","true"
"103","571","5","true","103","399","15","true","103","64","0","true","103","10465","45","true"
"104","586","5","true","104","398","15","true","104","64","0","true","104","10451","45","true"
"105","597","5","true","105","398","15","true","105","65","0","true","105","10439","45","true"
"106","606","5","true","106","395","15","true","106","66","0","true","106","10432","45","true"
"107","620","5","true","107","390","15","true","107","67","0","true","107","10422","45","true"
"108","637","5","true","108","383","15","true","108","67","0","true","108","10412","45","true"
"109","651","5","true","109","381","15","true","109","67","0","true","109","10400","45","true"
"110","653","5","true","110","388","15","true","110","68","0","true","110","10390","45","true"
"111","666","5","true","111","385","15","true","111","69","0","true","111","10379","45","true"
"112","676","5","true","112","379","15","true","112","70","0","true","112","10374","45","true"
"113","688","5","true","113","369","15","true","113","71","0","true","113","10371","45","true"
"114","698","5","true","114","365","15","true","114","74","0","true","114","10362","45","true"
"115","714","5","true","115","359","15","true","115","76","0","true","115","10350","45","true"
"116","723","5","true","116","357","15","true","116","76","0","true","116","10343","45","true"
"117","735","5","true","117","359","15","true","117","76","0","true","117","10329","45","true"
"118","744","5","true","118","357","15","true","118","77","0","true","118","10321","45","true"
"119","754","5","true","119","351","15","true","119","79","0","true","119","10315","45","true"
"120","765","5","true","120","345","15","true","120","83","0","true","120","10306","45","true"
"121","777","5","true","121","341","15","true","121","83","0","true","121","10298","45","true"
"122","790","5","true","122","341","15","true","122","84","0","true","122","10284","45","true"
"123","804","5","true","123","336","15","true","123","84","0","true","123","10275","45","true"
"124","821","5","true","124","329","15","true","124","86","0","true","124","10263","45","true"
"125","833","5","true","125","328","15","true","125","87","0","true","125","10251","45","true"
"126","842","5","true","126","331","15","true","126","88","0","true","126","10238","45","true"
"127","852","5","true","127","334","15","true","127","89","0","true","127","10224","45","true"
"128","860","5","true","128","345","15","true","128","90","0","true","128","10204","45","true"
"129","876","5","true","129","340","15","true","129","90","0","true","129","10193","45","true"
"130","883","5","true","130","344","15","true","130","91","0","true","130","10181","45","true"
"131","897","5","true","131","340","15","true","131","93","0","true","131","10169","45","true"
"132","913","5","true","132","329","15","true","132","94","0","true","132","10163","45","true"
"133","927","5","true","133","327","15","true","133","94","0","true","133","10151","45","true"
"134","938","5","true","134","320","15","true","134","95","0","true","134","10146","45","true"
"135","952","5","true","135","311","15","true","135","99","0","true","135","10137","45","true"
"136","960","5","true","136","310","15","true","136","101","0","true","136","10128","45","true"
"137","969","5","true","137","311","15","true","137","101","0","true","137","10118","45","true"
"138","983","5","true","138","303","15","true","138","103","0","true","138","10110","45","true"
"139","989","5","true","139","304","15","true","139","104","0","true","139","10102","45","true"
"140","998","5","true","140","303","15","true","140","104","0","true","140","10094","45","true"
"141","1006","5","true","141","297","15","true","141","108","0","true","141","10088","45","true"
"142","1012","5","true","142","296","15","true","142","108","0","true","142","10083","45","true"
"143","1022","5","true","143","290","15","true","143","108","0","true","143","10079","45","true"
"144","1038","5","true","144","278","15","true","144","108","0","true","144","10075","45","true"
"145","1048","5","true","145","273","15","true","145","109","0","true","145","10069","45","true"
"146","1055","5","true","146","267","15","true","146","111","0","true","146","10066","45","true"
"147","1068","5","true","147","259","15","true","147","112","0","true","147","10060","45","true"
"148","1076","5","true","148","249","15","true","148","114","0","true","148","10060","45","true"
"149","1086","5","true","149","242","15","true","149","114","0","true","149","10057","45","true"
"150","1093","5","true","150","236","15","true","150","114","0","true","150","10056","45","true"
"151","1099","5","true","151","230","15","true","151","116","0","true","151","10054","45","true"
"152","1104","5","true","152","226","15","true","152","116","0","true","152","10053","45","true"
"153","1115","5","true","153","216","15","true","153","117","0","true","153","10051","45","true"
"154","1125","5","true","154","206","15","true","154","119","0","true","154","10049","45","true"
"155","1132","5","true","155","203","15","true","155","119","0","true","155","10045","45","true"
"156","1141","5","true","156","198","15","true","156","119","0","true","156","10041","45","true"
"157","1152","5","true","157","186","15","true","157","120","0","true","157","10041","45","true"
"158","1162","5","true","158","176","15","true","158","122","0","true","158","10039","45","true"
"159","1172","5","true","159","170","15","true","159","124","0","true","159","10033","45","true"
"160","1180","5","true","160","166","15","true","160","125","0","true","160","10028","45","true"
"161","1188","5","true","161","161","15","true","161","125","0","true","161","10025","45","true"
"162","1196","5","true","162","156","15","true","162","127","0","true","162","10020","45","true"
"163","1202","5","true","163","148","15","true","163","129","0","true","163","10020","45","true"
"164","1210","5","true","164","144","15","true","164","129","0","true","164","10016","45","true"
"165","1219","5","true","165","137","15","true","165","129","0","true","165","10014","45","true"
"166","1233","5","true","166","125","15","true","166","130","0","true","166","10011","45","true"
"167","1247","5","true","167","113","15","true","167","131","0","true","167","10008","45","true"
"168","1252","5","true","168","112","15","true","168","131","0","true","168","10004","45","true"
"169","1252","5","true","169","114","15","true","169","132","0","true","169","10001","45","true"
"170","1258","5","true","170","109","15","true","170","132","0","true","170","10000","45","true"
"171","1263","5","true","171","106","15","true","171","133","0","true","171","9997","45","true"
"172","1266","5","true","172","106","15","true","172","133","0","true","172","9994","45","true"
"173","1272","5","true","173","104","15","true","173","133","0","true","173","9990","45","true"
"174","1275","5","true","174","103","15","true","174","133","0","true","174","9988","45","true"
"175","1279","5","true","175","104","15","true","175","133","0","true","175","9983","45","true"
"176","1287","5","true","176","100","15","true","176","133","0","true","176","9979","45","true"
"177","1287","5","true","177","103","15","true","177","133","0","true","177","9976","45","true"
"178","1290","5","true","178","101","15","true","178","133","0","true","178","9975","45","true"
"179","1294","5","true","179","99","15","true","179","133","0","true","179","9973","45","true"
"180","1294","5","true","180","102","15","true","180","133","0","true","180","9970","45","true"
"181","1299","5","true","181","98","15","true","181","133","0","true","181","9969","45","true"
"182","1304","5","true","182","94","15","true","182","133","0","true","182","9968","45","true"
"183","1305","5","true","183","94","15","true","183","134","0","true","183","9966","45","true"
"184","1309","5","true","184","92","15","true","184","135","0","true","184","9963","45","true"
"185","1312","5","true","185","93","15","true","185","135","0","true","185","9959","45","true"
"186","1315","5","true","186","88","15","true","186","137","0","true","186","9959","45","true"
"187","1320","5","true","187","88","15","true","187","137","0","true","187","9954","45","true"
"188","1324","5","true","188","84","15","true","188","139","0","true","188","9952","45","true"
"189","1326","5","true","189","82","15","true","189","139","0","true","189","9952","45","true"
"190","1326","5","true","190","86","15","true","190","139","0","true","190","9948","45","true"
"191","1331","5","true","191","83","15","true","191","139","0","true","191","9946","45","true"
"192","1335","5","true","192","81","15","true","192","139","0","true","192","9944","45","true"
"193","1337","5","true","193","81","15","true","193","139","0","true","193","9942","45","true"
"194","1339","5","true","194","79","15","true","194","141","0","true","194","9940","45","true"
"195","1344","5","true","195","77","15","true","195","141","0","true","195","9937","45","true"
"196","1348","5","true","196","75","15","true","196","141","0","true","196","9935","45","true"
"197","1352","5","true","197","73","15","true","197","142","0","true","197","9932","45","true"
"198","1354","5","true","198","72","15","true","198","142","0","true","198","9931","45","true"
"199","1359","5","true","199","70","15","true","199","142","0","true","199","9928","45","true"
"200","1361","5","true","200","71","15","true","200","142","0","true","200","9925","45","true"
"201","1364","5","true","201","73","15","true","201","142","0","true","201","9920","45","true"
"202","1365","5","true","202","75","15","true","202","142","0","true","202","9917","45","true"
"203","1369","5","true","203","78","15","true","203","142","0","true","203","9910","45","true"
"204","1370","5","true","204","91","15","true","204","142","0","true","204","9896","45","true"
"205","1371","5","true","205","106","15","true","205","142","0","true","205","9880","45","true"
"206","1374","5","true","206","121","15","true","206","142","0","true","206","9862","45","true"
"207","1375","5","true","207","140","15","true","207","142","0","true","207","9842","45","true"
"208","1377","5","true","208","161","15","true","208","142","0","true","208","9819","45","true"
"209","1379","5","true","209","179","15","true","209","144","0","true","209","9797","45","true"
"210","1380","5","true","210","203","15","true","210","144","0","true","210","9772","45","true"
"211","1383","5","true","211","233","15","true","211","144","0","true","211","9739","45","true"
"212","1386","5","true","212","258","15","true","212","144","0","true","212","9711","45","true"
"213","1388","5","true","213","279","15","true","213","144","0","true","213","9688","45","true"
"214","1390","5","true","214","304","15","true","214","144","0","true","214","9661","45","true"
"215","1391","5","true","215","345","15","true","215","144","0","true","215","9619","45","true"
"216","1392","5","true","216","380","15","true","216","145","0","true","216","9582","45","true"
"217","1396","5","true","217","423","15","true","217","145","0","true","217","9535","45","true"
"218","1400","5","true","218","474","15","true","218","145","0","true","218","9480","45","true"
"219","1401","5","true","219","543","15","true","219","145","0","true","219","9410","45","true"
"220","1406","5","true","220","619","15","true","220","145","0","true","220","9329","45","true"
"221","1410","5","true","221","719","15","true","221","146","0","true","221","9224","45","true"
"222","1412","5","true","222","818","15","true","222","147","0","true","222","9122","45","true"
"223","1418","5","true","223","925","15","true","223","147","0","true","223","9009","45","true"
"224","1421","5","true","224","1019","15","true","224","148","0","true","224","8911","45","true"
"225","1425","5","true","225","1102","15","true","225","149","0","true","225","8823","45","true"
"226","1436","5","true","226","1181","15","true","226","151","0","true","226","8731","45","true"
"227","1442","5","true","227","1280","15","true","227","151","0","true","227","8626","45","true"
"228","1449","5","true","228","1363","15","true","228","151","0","true","228","8536","45","true"
"229","1458","5","true","229","1436","15","true","229","151","0","true","229","8454","45","true"
