"export-plot data (NetLogo 6.4.0)"
"vladviiob.nlogo"
"11/22/2024 19:26:25:185 +0100"

"MODEL SETTINGS"
"compliance-rate","port-travel-chance","initial-infected","virus-cold-resistance","days-until-healthy","infections-threshold","select-infection-country?","isolation-compliance","cold-threshold","virus-heat-resistance","movement-radius","population-scaling","min-recovery-time","heat-threshold","airports-and-ports-enabled?","infection-chance","isolation-enabled?","recovery-time-mean","mortality-rate","recovery-time-sd","airport-travel-chance","num-airports","num-ports"
"1","0.03","1","0.9","365","0.43","true","1","1","0.9","4","0.3","20","13","false","0.25","false","30","0.1","10","0.05","24","17"

"""Climate Impact"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","231","0","1840","true","""hot""","false","3"

"pen name","pen down?","mode","interval","color","x"
"""hot""","true","0","1","25","210"
"""cold""","true","0","1","5","210"
"""moderate""","true","0","1","55","210"

"""hot""",,,,"""cold""",,,,"""moderate"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","0","25","true","0","0","5","true","0","0","55","true"
"1","0","25","true","1","0","5","true","1","3","55","true"
"2","0","25","true","2","0","5","true","2","8","55","true"
"3","0","25","true","3","0","5","true","3","11","55","true"
"4","0","25","true","4","0","5","true","4","13","55","true"
"5","0","25","true","5","0","5","true","5","15","55","true"
"6","0","25","true","6","0","5","true","6","16","55","true"
"7","0","25","true","7","0","5","true","7","21","55","true"
"8","0","25","true","8","0","5","true","8","23","55","true"
"9","0","25","true","9","0","5","true","9","23","55","true"
"10","0","25","true","10","0","5","true","10","23","55","true"
"11","0","25","true","11","0","5","true","11","25","55","true"
"12","0","25","true","12","0","5","true","12","28","55","true"
"13","0","25","true","13","0","5","true","13","32","55","true"
"14","0","25","true","14","0","5","true","14","39","55","true"
"15","0","25","true","15","1","5","true","15","41","55","true"
"16","0","25","true","16","2","5","true","16","46","55","true"
"17","0","25","true","17","3","5","true","17","52","55","true"
"18","0","25","true","18","3","5","true","18","57","55","true"
"19","0","25","true","19","5","5","true","19","61","55","true"
"20","0","25","true","20","6","5","true","20","68","55","true"
"21","0","25","true","21","7","5","true","21","77","55","true"
"22","0","25","true","22","7","5","true","22","81","55","true"
"23","0","25","true","23","10","5","true","23","85","55","true"
"24","0","25","true","24","16","5","true","24","86","55","true"
"25","0","25","true","25","17","5","true","25","91","55","true"
"26","0","25","true","26","21","5","true","26","96","55","true"
"27","1","25","true","27","25","5","true","27","97","55","true"
"28","2","25","true","28","28","5","true","28","99","55","true"
"29","2","25","true","29","31","5","true","29","102","55","true"
"30","2","25","true","30","39","5","true","30","107","55","true"
"31","3","25","true","31","46","5","true","31","111","55","true"
"32","3","25","true","32","55","5","true","32","114","55","true"
"33","3","25","true","33","61","5","true","33","113","55","true"
"34","3","25","true","34","65","5","true","34","117","55","true"
"35","5","25","true","35","66","5","true","35","121","55","true"
"36","6","25","true","36","69","5","true","36","121","55","true"
"37","6","25","true","37","72","5","true","37","128","55","true"
"38","6","25","true","38","75","5","true","38","135","55","true"
"39","6","25","true","39","74","5","true","39","149","55","true"
"40","6","25","true","40","76","5","true","40","160","55","true"
"41","6","25","true","41","79","5","true","41","168","55","true"
"42","8","25","true","42","83","5","true","42","172","55","true"
"43","10","25","true","43","86","5","true","43","179","55","true"
"44","12","25","true","44","88","5","true","44","181","55","true"
"45","13","25","true","45","89","5","true","45","185","55","true"
"46","15","25","true","46","90","5","true","46","188","55","true"
"47","18","25","true","47","97","5","true","47","194","55","true"
"48","20","25","true","48","135","5","true","48","197","55","true"
"49","25","25","true","49","151","5","true","49","206","55","true"
"50","26","25","true","50","149","5","true","50","216","55","true"
"51","31","25","true","51","148","5","true","51","228","55","true"
"52","37","25","true","52","146","5","true","52","237","55","true"
"53","44","25","true","53","145","5","true","53","251","55","true"
"54","46","25","true","54","148","5","true","54","268","55","true"
"55","52","25","true","55","147","5","true","55","275","55","true"
"56","56","25","true","56","149","5","true","56","277","55","true"
"57","58","25","true","57","147","5","true","57","283","55","true"
"58","60","25","true","58","144","5","true","58","287","55","true"
"59","61","25","true","59","140","5","true","59","307","55","true"
"60","61","25","true","60","138","5","true","60","309","55","true"
"61","61","25","true","61","135","5","true","61","309","55","true"
"62","63","25","true","62","132","5","true","62","301","55","true"
"63","65","25","true","63","128","5","true","63","297","55","true"
