"export-plot data (NetLogo 6.4.0)"
"vladviiob.nlogo"
"11/22/2024 19:25:57:017 +0100"

"MODEL SETTINGS"
"infection-chance","initial-infected","population-scaling","num-airports","num-ports","mortality-rate","airport-travel-chance","port-travel-chance","movement-radius","recovery-time-mean","recovery-time-sd","min-recovery-time","airports-and-ports-enabled?","select-infection-country?","isolation-enabled?","compliance-rate","heat-threshold","cold-threshold","virus-heat-resistance","virus-cold-resistance","isolation-compliance","infections-threshold","days-until-healthy"
"0.25","1","0.3","24","17","0.1","0.05","0.03","4","30","10","20","false","true","false","1","13","1","0.9","0.9","1","0.43","365"

"""Climate Impact"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","92.5","0","285","true","""hot""","false","3"

"pen name","pen down?","mode","interval","color","x"
"""hot""","true","0","1","25","90"
"""cold""","true","0","1","5","90"
"""moderate""","true","0","1","55","90"

"""hot""",,,,"""cold""",,,,"""moderate"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","0","25","true","0","0","5","true","0","0","55","true"
"1","0","25","true","1","0","5","true","1","4","55","true"
"2","0","25","true","2","0","5","true","2","5","55","true"
"3","0","25","true","3","0","5","true","3","5","55","true"
"4","0","25","true","4","0","5","true","4","7","55","true"
"5","0","25","true","5","0","5","true","5","8","55","true"
"6","0","25","true","6","0","5","true","6","12","55","true"
"7","0","25","true","7","0","5","true","7","16","55","true"
"8","0","25","true","8","0","5","true","8","18","55","true"
"9","0","25","true","9","0","5","true","9","20","55","true"
"10","0","25","true","10","0","5","true","10","22","55","true"
"11","0","25","true","11","0","5","true","11","27","55","true"
"12","0","25","true","12","0","5","true","12","31","55","true"
"13","0","25","true","13","0","5","true","13","32","55","true"
"14","0","25","true","14","0","5","true","14","34","55","true"
"15","0","25","true","15","0","5","true","15","36","55","true"
"16","0","25","true","16","0","5","true","16","36","55","true"
"17","0","25","true","17","0","5","true","17","36","55","true"
"18","0","25","true","18","0","5","true","18","37","55","true"
"19","0","25","true","19","0","5","true","19","41","55","true"
"20","0","25","true","20","1","5","true","20","42","55","true"
"21","0","25","true","21","2","5","true","21","42","55","true"
"22","0","25","true","22","4","5","true","22","45","55","true"
"23","0","25","true","23","4","5","true","23","51","55","true"
"24","0","25","true","24","5","5","true","24","62","55","true"
"25","1","25","true","25","6","5","true","25","71","55","true"
"26","2","25","true","26","7","5","true","26","81","55","true"
"27","3","25","true","27","7","5","true","27","81","55","true"
"28","3","25","true","28","7","5","true","28","81","55","true"
"29","3","25","true","29","8","5","true","29","82","55","true"
"30","5","25","true","30","11","5","true","30","82","55","true"
"31","6","25","true","31","15","5","true","31","85","55","true"
"32","8","25","true","32","19","5","true","32","89","55","true"
"33","8","25","true","33","26","5","true","33","92","55","true"
"34","8","25","true","34","27","5","true","34","92","55","true"
"35","9","25","true","35","27","5","true","35","92","55","true"
"36","9","25","true","36","28","5","true","36","97","55","true"
"37","10","25","true","37","31","5","true","37","102","55","true"
"38","11","25","true","38","33","5","true","38","104","55","true"
"39","11","25","true","39","33","5","true","39","106","55","true"
"40","12","25","true","40","36","5","true","40","108","55","true"
"41","12","25","true","41","36","5","true","41","108","55","true"
"42","12","25","true","42","37","5","true","42","111","55","true"
"43","12","25","true","43","38","5","true","43","115","55","true"
"44","13","25","true","44","39","5","true","44","116","55","true"
"45","15","25","true","45","40","5","true","45","112","55","true"
"46","16","25","true","46","41","5","true","46","117","55","true"
"47","17","25","true","47","43","5","true","47","119","55","true"
"48","18","25","true","48","48","5","true","48","126","55","true"
"49","22","25","true","49","52","5","true","49","128","55","true"
"50","23","25","true","50","54","5","true","50","130","55","true"
"51","26","25","true","51","55","5","true","51","131","55","true"
"52","27","25","true","52","58","5","true","52","136","55","true"
"53","29","25","true","53","68","5","true","53","145","55","true"
"54","31","25","true","54","91","5","true","54","155","55","true"
"55","32","25","true","55","98","5","true","55","152","55","true"
"56","34","25","true","56","102","5","true","56","153","55","true"
"57","38","25","true","57","102","5","true","57","149","55","true"
"58","38","25","true","58","101","5","true","58","147","55","true"
"59","37","25","true","59","103","5","true","59","147","55","true"
"60","37","25","true","60","107","5","true","60","143","55","true"
"61","38","25","true","61","105","5","true","61","145","55","true"
"62","41","25","true","62","103","5","true","62","143","55","true"
"63","39","25","true","63","102","5","true","63","145","55","true"
"64","41","25","true","64","99","5","true","64","139","55","true"
"65","47","25","true","65","99","5","true","65","145","55","true"
"66","49","25","true","66","101","5","true","66","148","55","true"
"67","54","25","true","67","102","5","true","67","151","55","true"
"68","54","25","true","68","108","5","true","68","155","55","true"
"69","55","25","true","69","109","5","true","69","155","55","true"
"70","55","25","true","70","117","5","true","70","156","55","true"
"71","52","25","true","71","114","5","true","71","163","55","true"
"72","51","25","true","72","115","5","true","72","169","55","true"
"73","51","25","true","73","114","5","true","73","182","55","true"
"74","53","25","true","74","113","5","true","74","193","55","true"
"75","56","25","true","75","108","5","true","75","196","55","true"
"76","57","25","true","76","106","5","true","76","207","55","true"
"77","58","25","true","77","107","5","true","77","221","55","true"
"78","55","25","true","78","104","5","true","78","234","55","true"
"79","54","25","true","79","102","5","true","79","246","55","true"
"80","54","25","true","80","103","5","true","80","248","55","true"
"81","57","25","true","81","101","5","true","81","254","55","true"
"82","59","25","true","82","100","5","true","82","259","55","true"
"83","59","25","true","83","101","5","true","83","262","55","true"
"84","59","25","true","84","106","5","true","84","262","55","true"
"85","58","25","true","85","107","5","true","85","259","55","true"
"86","58","25","true","86","105","5","true","86","261","55","true"
"87","66","25","true","87","102","5","true","87","269","55","true"
"88","67","25","true","88","101","5","true","88","274","55","true"
"89","65","25","true","89","98","5","true","89","279","55","true"
"90","64","25","true","90","97","5","true","90","278","55","true"
