"export-plot data (NetLogo 6.4.0)"
"vladviiob.nlogo"
"11/22/2024 19:01:21:419 +0100"

"MODEL SETTINGS"
"infection-chance","initial-infected","population-scaling","num-airports","num-ports","mortality-rate","airport-travel-chance","port-travel-chance","movement-radius","recovery-time-mean","recovery-time-sd","min-recovery-time","airports-and-ports-enabled?","select-infection-country?","isolation-enabled?","compliance-rate","heat-threshold","cold-threshold","virus-heat-resistance","virus-cold-resistance","isolation-compliance","infections-threshold","days-until-healthy"
"0.25","1","0.3","24","17","0.1","0.05","0.03","4","30","10","20","false","true","false","1","13","1","0.05","0.9","1","0.43","365"

"""Disease Progression"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","290","0","12800","true","""recovered""","true","4"

"pen name","pen down?","mode","interval","color","x"
"""recovered""","true","0","1","5","240"
"""infected""","true","0","1","15","240"
"""dead""","true","0","1","0","240"
"""healthy""","true","0","1","45","240"

"""recovered""",,,,"""infected""",,,,"""dead""",,,,"""healthy"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","0","5","true","0","0","15","true","0","0","0","true","0","0","45","true"
"1","0","5","true","1","2","15","true","1","0","0","true","1","11643","45","true"
"2","0","5","true","2","3","15","true","2","0","0","true","2","11642","45","true"
"3","0","5","true","3","4","15","true","3","0","0","true","3","11641","45","true"
"4","0","5","true","4","6","15","true","4","0","0","true","4","11639","45","true"
"5","0","5","true","5","7","15","true","5","0","0","true","5","11638","45","true"
"6","0","5","true","6","11","15","true","6","0","0","true","6","11634","45","true"
"7","0","5","true","7","13","15","true","7","0","0","true","7","11632","45","true"
"8","0","5","true","8","15","15","true","8","0","0","true","8","11630","45","true"
"9","0","5","true","9","19","15","true","9","0","0","true","9","11626","45","true"
"10","0","5","true","10","22","15","true","10","0","0","true","10","11623","45","true"
"11","0","5","true","11","25","15","true","11","0","0","true","11","11620","45","true"
"12","0","5","true","12","28","15","true","12","0","0","true","12","11617","45","true"
"13","0","5","true","13","31","15","true","13","0","0","true","13","11614","45","true"
"14","0","5","true","14","36","15","true","14","0","0","true","14","11609","45","true"
"15","0","5","true","15","37","15","true","15","0","0","true","15","11608","45","true"
"16","0","5","true","16","46","15","true","16","0","0","true","16","11599","45","true"
"17","0","5","true","17","56","15","true","17","0","0","true","17","11589","45","true"
"18","0","5","true","18","58","15","true","18","0","0","true","18","11587","45","true"
"19","0","5","true","19","60","15","true","19","0","0","true","19","11585","45","true"
"20","0","5","true","20","68","15","true","20","0","0","true","20","11577","45","true"
"21","0","5","true","21","77","15","true","21","0","0","true","21","11568","45","true"
"22","0","5","true","22","85","15","true","22","0","0","true","22","11560","45","true"
"23","0","5","true","23","91","15","true","23","0","0","true","23","11554","45","true"
"24","0","5","true","24","97","15","true","24","0","0","true","24","11548","45","true"
"25","2","5","true","25","103","15","true","25","0","0","true","25","11540","45","true"
"26","2","5","true","26","110","15","true","26","0","0","true","26","11533","45","true"
"27","3","5","true","27","118","15","true","27","0","0","true","27","11524","45","true"
"28","4","5","true","28","123","15","true","28","0","0","true","28","11518","45","true"
"29","4","5","true","29","130","15","true","29","0","0","true","29","11511","45","true"
"30","6","5","true","30","139","15","true","30","0","0","true","30","11500","45","true"
"31","7","5","true","31","152","15","true","31","0","0","true","31","11486","45","true"
"32","10","5","true","32","155","15","true","32","0","0","true","32","11480","45","true"
