"export-plot data (NetLogo 6.4.0)"
"vladviiob.nlogo"
"11/22/2024 19:01:14:534 +0100"

"MODEL SETTINGS"
"compliance-rate","port-travel-chance","initial-infected","virus-cold-resistance","days-until-healthy","infections-threshold","select-infection-country?","isolation-compliance","cold-threshold","virus-heat-resistance","movement-radius","population-scaling","min-recovery-time","heat-threshold","airports-and-ports-enabled?","infection-chance","isolation-enabled?","recovery-time-mean","mortality-rate","recovery-time-sd","airport-travel-chance","num-airports","num-ports"
"1","0.03","1","0.9","365","0.43","true","1","1","0.05","4","0.3","20","13","false","0.25","false","30","0.1","10","0.05","24","17"

"""Disease Progression"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","92.5","0","12600","true","""recovered""","true","4"

"pen name","pen down?","mode","interval","color","x"
"""recovered""","true","0","1","5","90"
"""infected""","true","0","1","15","90"
"""dead""","true","0","1","0","90"
"""healthy""","true","0","1","45","90"

"""recovered""",,,,"""infected""",,,,"""dead""",,,,"""healthy"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","0","5","true","0","0","15","true","0","0","0","true","0","0","45","true"
"1","0","5","true","1","1","15","true","1","0","0","true","1","11418","45","true"
"2","0","5","true","2","1","15","true","2","0","0","true","2","11418","45","true"
"3","0","5","true","3","1","15","true","3","0","0","true","3","11418","45","true"
"4","0","5","true","4","1","15","true","4","0","0","true","4","11418","45","true"
"5","0","5","true","5","1","15","true","5","0","0","true","5","11418","45","true"
"6","0","5","true","6","1","15","true","6","0","0","true","6","11418","45","true"
"7","0","5","true","7","1","15","true","7","0","0","true","7","11418","45","true"
"8","0","5","true","8","2","15","true","8","0","0","true","8","11417","45","true"
"9","0","5","true","9","3","15","true","9","0","0","true","9","11416","45","true"
"10","0","5","true","10","3","15","true","10","0","0","true","10","11416","45","true"
"11","0","5","true","11","5","15","true","11","0","0","true","11","11414","45","true"
"12","0","5","true","12","7","15","true","12","0","0","true","12","11412","45","true"
"13","0","5","true","13","10","15","true","13","0","0","true","13","11409","45","true"
"14","0","5","true","14","12","15","true","14","0","0","true","14","11407","45","true"
"15","0","5","true","15","14","15","true","15","0","0","true","15","11405","45","true"
"16","0","5","true","16","17","15","true","16","0","0","true","16","11402","45","true"
"17","0","5","true","17","20","15","true","17","0","0","true","17","11399","45","true"
"18","0","5","true","18","22","15","true","18","0","0","true","18","11397","45","true"
"19","0","5","true","19","23","15","true","19","0","0","true","19","11396","45","true"
"20","0","5","true","20","24","15","true","20","0","0","true","20","11395","45","true"
"21","0","5","true","21","27","15","true","21","0","0","true","21","11392","45","true"
"22","0","5","true","22","31","15","true","22","0","0","true","22","11388","45","true"
"23","0","5","true","23","31","15","true","23","0","0","true","23","11388","45","true"
"24","0","5","true","24","34","15","true","24","0","0","true","24","11385","45","true"
"25","0","5","true","25","36","15","true","25","0","0","true","25","11383","45","true"
"26","0","5","true","26","41","15","true","26","0","0","true","26","11378","45","true"
"27","0","5","true","27","49","15","true","27","0","0","true","27","11370","45","true"
"28","0","5","true","28","54","15","true","28","0","0","true","28","11365","45","true"
"29","0","5","true","29","58","15","true","29","0","0","true","29","11361","45","true"
"30","1","5","true","30","60","15","true","30","0","0","true","30","11358","45","true"
"31","2","5","true","31","66","15","true","31","0","0","true","31","11351","45","true"
"32","2","5","true","32","75","15","true","32","0","0","true","32","11342","45","true"
"33","3","5","true","33","81","15","true","33","0","0","true","33","11335","45","true"
"34","3","5","true","34","93","15","true","34","0","0","true","34","11323","45","true"
"35","3","5","true","35","95","15","true","35","0","0","true","35","11321","45","true"
"36","5","5","true","36","98","15","true","36","1","0","true","36","11315","45","true"
"37","5","5","true","37","104","15","true","37","2","0","true","37","11308","45","true"
"38","8","5","true","38","109","15","true","38","2","0","true","38","11300","45","true"
"39","9","5","true","39","118","15","true","39","2","0","true","39","11290","45","true"
"40","11","5","true","40","123","15","true","40","3","0","true","40","11282","45","true"
"41","11","5","true","41","133","15","true","41","3","0","true","41","11272","45","true"
"42","12","5","true","42","140","15","true","42","3","0","true","42","11264","45","true"
"43","12","5","true","43","150","15","true","43","3","0","true","43","11254","45","true"
"44","13","5","true","44","159","15","true","44","3","0","true","44","11244","45","true"
"45","15","5","true","45","164","15","true","45","3","0","true","45","11237","45","true"
"46","18","5","true","46","170","15","true","46","3","0","true","46","11228","45","true"
"47","22","5","true","47","180","15","true","47","3","0","true","47","11214","45","true"
"48","23","5","true","48","188","15","true","48","3","0","true","48","11205","45","true"
"49","26","5","true","49","195","15","true","49","3","0","true","49","11195","45","true"
"50","27","5","true","50","206","15","true","50","3","0","true","50","11183","45","true"
"51","31","5","true","51","213","15","true","51","3","0","true","51","11172","45","true"
"52","33","5","true","52","224","15","true","52","5","0","true","52","11157","45","true"
"53","36","5","true","53","241","15","true","53","5","0","true","53","11137","45","true"
"54","40","5","true","54","248","15","true","54","5","0","true","54","11126","45","true"
"55","45","5","true","55","258","15","true","55","6","0","true","55","11110","45","true"
"56","47","5","true","56","276","15","true","56","8","0","true","56","11088","45","true"
"57","56","5","true","57","284","15","true","57","8","0","true","57","11071","45","true"
"58","59","5","true","58","291","15","true","58","8","0","true","58","11061","45","true"
"59","62","5","true","59","300","15","true","59","8","0","true","59","11049","45","true"
"60","71","5","true","60","303","15","true","60","9","0","true","60","11036","45","true"
"61","75","5","true","61","310","15","true","61","9","0","true","61","11025","45","true"
"62","78","5","true","62","315","15","true","62","10","0","true","62","11016","45","true"
"63","80","5","true","63","315","15","true","63","12","0","true","63","11012","45","true"
"64","87","5","true","64","314","15","true","64","13","0","true","64","11005","45","true"
"65","93","5","true","65","313","15","true","65","15","0","true","65","10998","45","true"
"66","97","5","true","66","313","15","true","66","16","0","true","66","10993","45","true"
"67","101","5","true","67","314","15","true","67","16","0","true","67","10988","45","true"
"68","110","5","true","68","313","15","true","68","16","0","true","68","10980","45","true"
"69","119","5","true","69","319","15","true","69","17","0","true","69","10964","45","true"
"70","132","5","true","70","320","15","true","70","17","0","true","70","10950","45","true"
"71","142","5","true","71","319","15","true","71","18","0","true","71","10940","45","true"
"72","151","5","true","72","314","15","true","72","19","0","true","72","10935","45","true"
"73","161","5","true","73","309","15","true","73","19","0","true","73","10930","45","true"
"74","170","5","true","74","302","15","true","74","20","0","true","74","10927","45","true"
"75","180","5","true","75","295","15","true","75","23","0","true","75","10921","45","true"
"76","190","5","true","76","288","15","true","76","27","0","true","76","10914","45","true"
"77","196","5","true","77","288","15","true","77","27","0","true","77","10908","45","true"
"78","204","5","true","78","282","15","true","78","27","0","true","78","10906","45","true"
"79","213","5","true","79","279","15","true","79","27","0","true","79","10900","45","true"
"80","226","5","true","80","267","15","true","80","27","0","true","80","10899","45","true"
