tick,total_infected,total_recovered,total_dead,total_healthy,hot_region_infected,cold_region_infected,moderate_region_infected,airport_usage,port_usage,num_isolated_countries,num_affected_countries,most_affected_country,most_deaths_country,hot_region_transmission_rate,cold_region_transmission_rate,moderate_region_transmission_rate,cross_border_infections,within_country_infections
0,1,0,0,11463,0,0,1,0,0,0,1,Romania,,0,0,3.3840947546531303E-4,0,1
1,1,0,0,11463,0,0,1,0,0,0,1,Romania,,0,0,3.3840947546531303E-4,0,1
2,2,0,0,11462,0,0,2,0,0,0,2,Romania,,0,0,6.768189509306261E-4,0,2
3,3,0,0,11461,0,0,3,0,0,0,2,Romania,,0,0,0.0010152284263959391,0,3
4,5,0,0,11459,0,0,5,0,0,0,2,Romania,,0,0,0.001692047377326565,0,5
5,6,0,0,11458,0,0,6,0,0,0,2,Romania,,0,0,0.0020304568527918783,0,6
6,8,0,0,11456,0,0,8,0,0,0,2,Romania,,0,0,0.0027072758037225042,0,8
7,13,0,0,11451,0,0,13,0,0,0,2,Serbia,,0,0,0.004399323181049069,0,13
8,17,0,0,11447,0,1,16,0,0,0,3,Serbia,,0,5.012531328320802E-4,0.0054145516074450084,0,17
9,18,0,0,11446,0,1,17,0,0,0,3,Serbia,,0,5.012531328320802E-4,0.005752961082910322,0,18
10,18,0,0,11446,0,1,17,0,0,0,3,Serbia,,0,5.012531328320802E-4,0.005752961082910322,0,18
11,21,0,0,11443,0,2,19,0,0,0,4,Serbia,,0,0.0010025062656641604,0.006429780033840948,0,21
12,26,0,0,11438,0,3,23,0,0,0,5,Romania,,0,0.0015037593984962407,0.0077834179357022,0,26
13,29,0,0,11435,0,4,25,0,0,0,6,Romania,,0,0.0020050125313283208,0.008460236886632826,0,29
14,32,0,0,11432,0,5,27,0,0,0,6,Romania,,0,0.002506265664160401,0.009137055837563452,0,32
15,34,0,0,11430,0,6,28,0,0,0,7,Romania,,0,0.0030075187969924814,0.009475465313028765,0,34
16,37,0,0,11427,0,7,30,0,0,0,7,Romania,,0,0.0035087719298245615,0.01015228426395939,0,37
17,39,0,0,11425,0,7,32,0,0,0,7,Romania,,0,0.0035087719298245615,0.010829103214890017,0,39
18,43,0,0,11421,0,8,35,0,0,0,7,Romania,,0,0.0040100250626566416,0.011844331641285956,0,43
19,48,0,0,11416,0,10,38,0,0,0,8,Romania,,0,0.005012531328320802,0.012859560067681896,0,48
20,54,0,0,11410,0,11,43,0,0,0,10,Romania,,0,0.005513784461152882,0.01455160744500846,0,54
21,57,0,0,11407,0,12,45,0,0,0,11,Romania,,0,0.006015037593984963,0.015228426395939087,0,57
22,58,0,1,11405,0,13,45,0,0,0,11,Romania,Romania,0,0.006516290726817042,0.015228426395939087,0,58
23,65,0,1,11398,0,15,50,0,0,0,11,Romania,Romania,0,0.007518796992481203,0.01692047377326565,0,65
24,71,0,2,11391,0,15,56,0,0,0,11,Romania,Romania,0,0.007518796992481203,0.01895093062605753,0,71
25,73,1,2,11388,0,15,58,0,0,0,11,Romania,Romania,0,0.007518796992481203,0.019627749576988155,0,73
26,77,3,2,11382,0,15,62,0,0,0,11,Romania,Romania,0,0.007518796992481203,0.02098138747884941,0,77
27,78,4,2,11380,0,15,63,0,0,0,11,Romania,Romania,0,0.007518796992481203,0.02131979695431472,0,78
28,80,5,2,11377,0,15,65,0,0,0,12,Romania,Romania,0,0.007518796992481203,0.021996615905245348,0,80
29,90,6,2,11366,0,16,74,0,0,0,14,Romania,Romania,0,0.008020050125313283,0.025042301184433163,0,90
30,92,6,2,11364,0,16,76,0,0,0,14,Romania,Romania,0,0.008020050125313283,0.02571912013536379,0,92
31,95,7,3,11359,0,16,79,0,0,0,15,Ukraine,Romania,0,0.008020050125313283,0.02673434856175973,0,95
32,95,11,3,11355,0,16,79,0,0,0,15,Ukraine,Romania,0,0.008020050125313283,0.02673434856175973,0,95
33,101,12,3,11348,0,15,86,0,0,0,15,Ukraine,Romania,0,0.007518796992481203,0.02910321489001692,0,101
34,104,12,3,11345,0,15,89,0,0,0,16,Ukraine,Romania,0,0.007518796992481203,0.03011844331641286,0,104
35,105,14,3,11342,0,15,90,0,0,0,16,Ukraine,Romania,0,0.007518796992481203,0.030456852791878174,0,105
36,107,18,4,11335,0,15,92,0,0,0,17,Ukraine,Romania,0,0.007518796992481203,0.0311336717428088,0,107
